Lens ID,Publication Year,Abstract,Keywords
001-641-778-155-06X,2017,"<jats:p>The purpose of this study was to examine what changes pre-service early childhood teachers underwent in empirical representation on disabilities and inclusive education by taking courses that were related to special education and put emphasis on practical knowledge, skills and reflective deliberation. The subjects in this study were 106 selected early childhood education students who were in their third year at a college. Data were collected from September 1 to December 15, 2016. Their images of disabilities and inclusive education were collected, and words that they used to represent disabilities and inclusive education were gathered as well. As a result of analyzing the; collected data, the change that the pre-service early childhood teachers experienced in empirical representation on disabilities after taking the courses related to special education was  escaping from otherness . And there were three subcategories:  From reified discrimination to the universality of value ,  from pity to recognition , and  from; someone who doesn t concern me to someone to whom I should reach out . The change in their empirical representation on inclusive education after taking the courses related to special education was  intentional endeavor for coexistence and co-living . And there were three subcategories:  From something to mind to seeking value that can be embodied by coming together ,  from simple arrangement to environments that should be prepared to ensure diversity , and  from vague fear to confidence and will for practice . The findings of the study are expected to provide information on how to provide teacher education to guarantee the successful spread and fulfillment of inclusive; early childhood education.</jats:p>",
001-676-182-054-866,2006,"Providing appropriate programs for young children with disabilities is a priority of the Individuals with Disabilities Education Act of 1990 (IDEA), recently reauthorized as the Individuals with Disabilities Education Improvement Act (IDEIA) of 2004. The IDEIA requires that programs be provided in natural or least restrictive environments, and issues concerning this area have been the focus of recent litigation. In this article, the author explores the issues surrounding this litigation and offers recommendations for developing Individualized Family Service Plans (IFSPs) and Individualized Education Programs (IEPs) for young children with disabilities. An analysis of administrative and judicial decisions revealed four themes: placement decisions were based on the potential for academic and nonacademic benefits, placement decisions were based on readiness for inclusion, placement decisions were based on instructional approaches, and placement decisions must be based on the considerations of a full continuu...",
001-766-418-540-22X,2019,"<jats:p>Early childhood professionals are increasingly pressed to use evidence-based measures when assessing young children. Professional time and resources to investigate research is limited, and takes time away from the delivery of direct services. The literature review is to describe the progression of a widely used curriculum-based assessment (CBA), the Assessment, Evaluation, and Programming System for Infants and Children (AEPS). In addition to sharing the development of this early childhood measure, we identified 19 studies from the available research found in various databases that have investigated the evidence supporting the use of this measure. Findings have implications for the validity, reliability, and utility of the AEPS.</jats:p>",Assessment; Evaluation; and Programming System (AEPS); early childhood curriculum-based assessment; early intervention; early childhood special education; reliability; validity; utility
001-783-983-679-413,2024,"<jats:p> Dr. Correa is a professor emerita in the Department of Child Development and Family Studies at the University of North Carolina, Charlotte. Throughout her career, Dr. Correa’s research focused on young children with disabilities, bilingual special education, teacher education, and the intersection of early childhood special education with early childhood education. These foci resulted in research that crosses boundaries, involving strong collaborative partnerships across special education and general education within school settings, departments within universities, and multiple universities nationally. </jats:p>",
002-052-260-299-326,2024,"This study investigates the socioeconomic determinants of early childhood development (ECD) in Pakistan by utilizing the data of sixth wave of the Multiple Indicator Cluster Survey (MICS) conducted in the four provinces of the country. The findings of the study reveal that mother's education, father's education, economic status of the household as measured by household's wealth index quintile, region of residence (province), child's gender, disability, nutrition and the practices used by the adult members of the household to discipline child are important determinants of ECD. The study highlights the crucial role of family background and importance of addressing the issue of malnutrition to foster child development.",Child disabilities; Child malnutrition; Early childhood development; Parental education; Socioeconomic status
002-099-576-961-257,1996,"This paper offers suggestions on adapting common classroom activities found in early childhood classrooms to increase participation of young children with limited motor abilities. It stresses the importance of de-emphasizing differences among children and highlighting that all children, even those with severe disabilities, can benefit from the same activities.",
002-193-395-860-749,2013,,Ireland; children; disability; early intervention services
002-840-534-794-568,1989,"The Education of the Handicapped Act Amendments of 1986 (PL 99-457) represents the most far-reaching public legislation ever enacted for disabled and developmentally vulnerable young children. This paper presents the basic requirements of the law and discusses the elements of a comprehensive system of early childhood intervention. The challenges and problems created by the law are delineated, and recommendations presented.",
002-861-454-518-750,2012,"Early literacy skill development is critical during the preschool years. Under that umbrella is emergent writing, a small but important component of overall literacy development. This article presents two writing strategies: (1) writers’ workshop and (2) dictation within the context of storybook reading that preschool teachers can utilize to target emergent writing development. Modifications for diverse learners are also included throughout.",emergent writing; preschool; disability; early childhood
002-994-705-219-931,1991,"In the United States injuries are the leading cause of death and disability in all children after the first year of life. The National Safety Council has indicated that children from birth to four years of age are at greater risk than any other age for injuries and deaths due to poisoning and ingestions, burns, and drownings.",
003-034-473-122-53X,1996,"This article describes Partnerships for Inclusion, a statewide project providing technical assistance (TA) to communities as they develop and coordinate inclusive services for infants, toddlers, and preschoolers with disabilities and their families. Included in this description are the major factors influencing the model's development, the project's core services, and selected strategies for promoting systems-level change that supports early childhood inclusion. A framework for evaluating TA services is also presented along with the project's evaluation data. The article concludes with a summary of lessons learned about how to provide effective TA services to diverse client groups.",
003-114-170-242-42X,2005,"This paper provides a review of several critical issues and directions for research and practice, centred on children with multiple and severe disability, with special attention to the recent study of individual behaviour states as a measure of arousal and involvement. It notes several areas for future research and discusses educational interventions designed to improve the engagement of children, focusing on the central role of early intervention and human ecologies in supporting the achievement of positive educational outcomes for this population.",
003-147-562-734-467,2008,"Using data from the Early Childhood Longitudinal Study-Kindergarten Cohort, this study was designed to investigate proportional representation, identification rates, and predictors of language-minority (LM) learners in special education using a nationally representative sample of kindergarten, first graders, and third graders. The findings indicate that although LM learners were underrepresented in special education in kindergarten and first grade, they were overrepresented in third grade across all disability categories. LM status, teacher ratings of language and literacy skills, and reading proficiency level were significant predictors of placement in special education. Kindergarten teacher ratings of language and literacy skills were highly predictive of subsequent placement in special education. The implications for developing a model of early identification, the response-to-intervention model in particular, for LM learners at risk for academic difficulties are discussed.",
003-198-833-128-865,2016,"<jats:p>From the introduction of early intervention services in Australian in the mid-1970s, the families of children with intellectual and multiple disabilities have been encouraged to enroll their children in local preschools and childcare centers. Children with disabilities have also accessed a range of alternatives to full inclusion, such as reverse inclusion and partial inclusion; however, the availability of the range of inclusive options has been limited. Although federal and state governments provide funding to support inclusion, the value of the support has been diminished by difficulties associated with the funding application processes and the lack of skills of early childhood staff and supporting specialists. Recent changes to early childhood provision in Australia have increased the potential of early childhood services to better provide for children with a range of disabilities. The barrier of specialist staff inadequately prepared to support early childhood professionals to promote full participation in center activities remains.</jats:p>",
003-275-031-689-800,2020,"This study sought to see the difference in attitudes between early childhood and preschool education teachers and students towards the inclusion of children with Down syndrome in kindergartens. The research included teachers from three kindergartens in the City of Split, as well as early childhood and preschool education students at the Faculty of Humanities and Social Sciences in Split. A questionnaire on the assessment of attitudes towards the inclusion of children with Down syndrome was used. The results are presented through thematic statements grouped by content as follows: personal attitude towards inclusion of children with Down syndrome; inclusion success; knowledge and training; kindergarten and inclusion; and attitudes towards parents of children with Down syndrome. The results showed that there was no statistically significant difference between teachers and students in terms of their attitudes towards inclusion. The results of teachers towards the partial integration of children with Down syndrome are significant. Based on the conducted research, it can be concluded there is a need for additional education in this field due to the lack of content, in formal and non-formal education of teachers, addressing the issue of the inclusion of children with Down syndrome and children with disabilities in general. It is necessary to follow the topic of inclusion in the context of kindergarten through a long-term research, using a more sensitive and comprehensive instrument, and a larger sample. If its sensitivity is increased, this instrument can be recommended to be used for all children with developmental disabilities, not just children with DS. Contribution /Originality: This study contributes to the existing literature and research on attitudes towards inclusion of children with Down syndrome. It brings results on the difference in attitudes of teachers with work experience and early childhood and preschool education students on the inclusion of children with Down syndrome in kindergartens.",
003-390-104-061-963,2014,"There has been a push in recent years for students with disabilities to be educated alongside their typically developing peers, a practice called inclusion. In this study, we sought to determine whether peer effects operate within early-childhood special-education (ECSE) classrooms in which preschoolers with disabilities are educated alongside typical peers. Peer effects specific to language growth were assessed for 670 preschoolers (mean age = 52 months) in 83 ECSE classrooms; 55% of the children had disabilities. We found that the average language skills of classmates, as assessed in the fall of the year, significantly predicted children's language skills in the spring (after controlling for their relative skill level in the fall); in addition, there was a significant interactive effect of disability status (i.e., the presence or absence of a disability) and peers' language skills. Peer effects were the least consequential for children without disabilities whose classmates had relatively strong language skills, and the most consequential for children with disabilities whose classmates had relatively poor language skills.",childhood development; disabilities; language; language development; schools
003-514-999-618-575,2025,"An intervention model for Early Childhood Assistance (ECA) is presented for children with Down’sSyndrome. This is based on a human rights approach and an inclusive early childhood education perspective. To address the special educational and health needs of children with Down’s Syndrome between the ages of 1 and 4 years, an intervention program based on the previously diagnosed degree of cognitive-affective-relational disability was designed. The follow-up session is carried out during a workshop with parents and in a practical session with the children at an ECA university center. This program gives families tools to become active agents in the process of their children’s learning and development . The results of this work and the improvement proposals developed by the parents and caregivers themselves are described in the article.",Área: Educación (Capacitación; Pedagogía). Subárea: Educación Especial Early attention; Down's syndrome; rights approach; disability; family Inclusive education
003-524-379-908-976,2015,"In this analytic essay, we initiate a dialogue about the place of disability in a multicultural education framework, and the role of inclusive education in a democracy. Problematizing the common omission of the topic of disability oppression from anti-oppression pedagogies and from social justice education generally, we invite teacher educators concerned with educational equity to position themselves on the persistent issue of the segregation of large numbers of students labeled with disabilities in schools, and to consider how we might engage in sustained dialogue toward pursuing an agenda that is opposed to the systematic deployment of educational segregation in all its forms. In addition to opening this broad conversation, we have specifically invited dialogic interchange with three of our teacher educator colleagues whose responses are embedded within this manuscript.",
003-554-576-885-301,2021,"The transition to kindergarten can be a memorable, yet stressful time for children and families. For children with disabilities and their caregivers, the transition to kindergarten can be especially difficult due to changes in environment, supports, and services that occur as part of the transition. The purpose of this article is to highlight specific practices and strategies that can enhance collaboration throughout the transition to kindergarten. Fictional vignettes are used to describe the perspectives of, and also the practices and strategies used by, members of an education team as they support a child with a disability and her caregiver. Readers are provided with examples of practices and planning tools that can be used to support children with disabilities throughout the transition to kindergarten process. High-intensity transition practices and strategies that can be used before, during, and after kindergarten transition are specifically highlighted. Additionally, the need for both preschool and kindergarten collaboration and support is emphasized.",Collaboration; Disabilities; Kindergarten; Preschool; Transition
003-608-649-734-338,1996,"The role of the speech‐language pathologist has been growing, changing and expanding with regard to early childhood services. With the advent of Public Law 94‐142 and Public Law 99‐457, the American's with Disabilities Act (ADA), etc. early childhood programs educate children who require special approaches to learning, moving and communicating. This paper reviews some of the various early childhood program models that include the speech‐language pathologist in service delivery. The McKay Integrated Preschool model highlights the speech‐language pathologist's unique approach. It focuses on Developmentally Appropriate Practices (NAEYC), “best practices” as seen by (ASHA) andthe speech‐language pathologist within the classroom setting on a full‐time basis. Suggestions and recommendations are provided for early childhood educators who are exploring support for speech‐language services. A sample language group lesson and follow up family information are also provided.",
003-694-013-992-597,2025,"<jats:p>Teachers are often tasked with training paraeducators to deliver instruction to students with significant disabilities, but there is little research that involves teachers training paraeducators. In this single-case design study, we supported teachers to deliver tiered training that first involved group training for teams of paraeducators, and then follow-up coaching for the subset who did not meet criterion-level implementation fidelity. Three teachers at three different schools delivered tiered training on systematic prompting to nine paraeducators who taught students with significant disabilities. After tiered training, all nine implemented simultaneous prompting in both targeted (d = 0.73) and generalization situations (d = 0.76), as well as least-to-most prompting in both targeted (d = 0.65) and generalization situations (d = 0.37). Five met criterion-level adherence with group training alone, and four required coaching. Eight of the nine paraeducators also improved their implementation quality. Students made progress on individualized goals aligned with paraeducator-delivered instruction both in targeted (d = 0.99) and generalization situations (d = 0.14). These findings suggest that teachers can effectively implement tiered training that enables paraeducators to deliver evidence-based instruction to students with significant disabilities.</jats:p>",
003-737-117-044-855,2007,"Many culturally diverse families and their young children with disabilities or delays are not provided appropriate early intervention/early childhood special education services, especially not in a culturally sensitive and meaningful context. Families with diverse backgrounds often feel helpless and stressful because their values are not respected, concerns are not identified, and therefore their needs are not met due to the lack of support from appropriate resources. The purpose of this article is to provide a positive strategy to empower families of young children with special needs and who are from culturally diverse backgrounds through a family-centered, strength-focused family system model: Double ABCX model. Procedures of implementing the double ABCX model was described and discussed. Supported by previous research and the current case studies, the double ABCX family adaptation model has found to be an effective approach to serving diverse families of children with disabilities.",family empowerment; cultural diversity; coping strategies; ABCX model
003-786-440-289-984,1992,"This study examined the relationship between the classroom behaviors and final grades of mainstreamed students with mild disabilities in three urban schools in Grades 3-9. Significant correlations were found for all academic behaviors except attendance and homework at the elementary level and written work at the junior high level. In addition, significant differences in reading scores were found between mainstreamed and regular elementary school students. Findings indicate that mainstreamed students with mild disabilities may participate in academic lessons as well or nearly as well as their peers without disabilities.",
004-010-254-291-587,2021,"Research Findings: All teachers have demanding jobs and work with limited resources. However, working with young children with disabilities may place additional demands on early childhood special e...",Early childhood special education teacher; internal resources; job burnout; job demands; job resources; psychological stress; teacher well-being
004-062-247-708-510,2007,"Teacher educators describe a developmental process they use for preparing pre-service teachers to support preschool-age children with and without disabilities in becoming socially competent. Social competence is crucial in developing the “whole” child and may actually foster other areas of development. Using qualitative data gathered from multiple classes over several years, the authors explain ways they guide future teachers in learning how to provide positive social environments. They describe their observations of changes in students’ beliefs about their roles and responsibilities, which appear to be influenced by the guided experiences they have provided. Activities implemented in early childhood and early childhood special education courses are shared, as well as student work samples that illustrate developing awareness and understanding.",
004-214-746-885-503,2000,"During the past 30 years, substantial research activity generated a great deal of knowledge about teaching young children with disabilities in classrooms. This research was conducted by a large num...",
004-244-468-700-093,2020,"For families with children with autism that engage in severe behavior, the American Academy of Pediatrics recommends that functional assessment and management of environmental variables contributin...",Severe behavior; autism; community-based services; developmental disability; family-centered; program description
004-361-554-105-170,1993,"Considerable research has focused on challenging behaviors (e.g., aggressive/disruptive, self-injurious) in children and adults with developmental disabilities over the past 25 years. Numerous beha...",
004-378-358-440-255,2011,"The United Nations estimates that 10% of the global population has a disability, and the UN Convention on the Rights of Persons with Disabilities (2006), which has been widely ratified, explicitly ...",
004-449-870-626-927,2015,"Inclusion of children with disabilities in early childhood care and education settings improves learning and socialization outcomes for all children. In recent decades, many countries have begun to promote inclusion in school and child care settings, although most are suffering from a lack of trained special education professionals, long-held stigmas, and (in some cases) lack of political will. In this article, the authors give a brief history of special education and care in South Korea, outline some of the actions the government has undertaken to promote inclusion of all learners, and identify some of the remaining challenges to full participation of students with disabilities in national schools and child care centers.",
004-868-283-049-930,1991,"The concept of prevention, while implicit in most early intervention efforts, has not been comprehensively articulated as a basis for conceptualizing early intervention services. The growing recognition of the importance of early identification and intervention for infants and young children, and involvement of the family, are factors which contribute to conceptualizations of services which are preventive in nature. This recognition parallels broader concerns for family support programmes which have a preventive focus and seek to enhance the development of children and families. The purpose of this paper is to present a comprehensive framework for the provision of child and family service by conceptualizing early intervention in terms of levels of prevention. Specifically, the concept of primary, secondary, and tertiary levels of prevention will be presented as a framework suitable to encompass the preventive function of community based rehabilitation. The relevance of early prevention is based on the premise that the condition of childhood disability can be prevented at primary, secondary, and tertiary levels. Viewed in this way, the problem or condition of developmental delay or disability in children can be addressed at each of the three levels to effect a reduction of its expression, its duration or extended impact. Primary, secondary, and tertiary prevention can be implemented in the context of community based rehabilitation to address these goals: (a) enhance development and minimize the potential for delay; (b) minimize the need for special education and related services; and (c) minimize the likelihood of institutional or other restrictive care outcomes.",Age Factors; Biology; Child; Child Development; Delivery Of Health Care; Demographic Factors; Developing Countries; Family And Household; Handicapped--prevention and control; Health; Health Services; Population; Population Characteristics; Primary Health Care; Risk Factors; Youth
005-076-455-809-491,2016,"ABSTRACTThe reauthorization of IDEA in 1997 placed greater emphasis on providing early intervention services to the family unit versus solely focusing on children with disabilities or children who are at risk for disabilities. Due to the shift from child-focused services to family-focused services, the need to implement family-centered practices became apparent. This study explored the experiences of graduates of an early intervention/early childhood special education personnel preparation program to gain an understanding of the factors that facilitate implementation of family-centered practices. Results from an online survey and focus groups revealed that the graduates, in general, held positive beliefs about partnering with families, and there were several program components that facilitated the implementation of family-centered practices. Implications are described for advancing the knowledge base about preparing students to work in the field of early intervention.",
005-223-773-009-876,2013,"Response to Intervention (RTI) models are likely to be implemented in early childhood settings with greater frequency to target academic and developmental skills. With an increasing number of classrooms serving children with identified special needs, it is necessary to examine how current frameworks for RTI models meet the needs of all children in the classroom, including those with identified developmental delays and disabilities. To do this, we reviewed five comprehensive RTI models proposed for preschool classrooms according to a framework based on foundational tenets in early childhood special education practice. Two independent researchers coded articles that described RTI models for presence of the foundational tenets and associated evidence-based practices described by Odom and Wolery (2003). Several foundational tenets were contained in the majority of RTI models, whereas others were not addressed adequately. Results provide the early childhood education and early childhood special education field...",
005-641-749-876-437,2012,"Young children with disabilities are increasingly attending inclusive early childhood programs with their typically developing peers. Within these programs, research efforts and practice have suppo...",
005-717-990-095-918,2007,"Homebound instruction involves the delivery of educational services within a student's home. Examples include academic instruction, speech and language therapy, and physical therapy. Initially seen as a service option for very young or frail children with disabilities, homebound instruction is currently being accessed by a variety of student populations. Outside of Early Childhood Special Education, few professional preparation programs address the delivery of educational services within the home. In addition, school districts may not have specific standards for providing such services. Homebound instruction can present many unique challenges. This article will review issues and guidelines for professionals to consider when implementing homebound instruction.",early childhood special education; guidelines; homebound instruction
005-842-605-769-449,2020,"This study forecasts the life-cycle treatment effects on health of a high-quality early childhood program. Our predictions combine microsimulation using nonexperimental data with experimental data from a midlife long-term follow-up. The follow-up incorporated a full epidemiological exam. The program mainly benefits males and significantly reduces the prevalence of heart disease, stroke, cancer, and mortality across the life-cycle. For men, we estimate an average reduction of 3.8 disability-adjusted life years (DALYs). The reduction in DALYs is relatively small for women. The gain in quality-adjusted life years is almost enough to offset all of the costs associated with program implementation for males and half of program costs for women.",early childhood education; life-cycle health; long-term forecasts; program evaluation; randomized trials
006-105-182-618-513,2019,,
006-111-865-276-795,2026,"<jats:p>Early childhood intervention and education play a central role in promoting equity, developmental outcomes, and long-term well-being for all children, particularly those experiencing those with disabilities or refugee status. In Türkiye, children at this intersection face compounded barriers to inclusive early childhood education (ECE). This paper examines how disability, and forced migration intersect to shape access to early childhood services in Türkiye, analyzing legal frameworks, programs, implementation gaps, and contextual factors. A review of policy documents, research, and program evaluations, reveals that while Türkiye has established foundational policies and achieved progress, structural barriers and governance fragmentation limit equitable service provision. The study adopts an intersectional framework and Guralnick’s Developmental Systems Model to identify leverage points for reform. The findings underscore the critical need for integrated service systems, strengthened cross-sectoral coordination, and targeted support mechanisms for families experiencing intersecting vulnerabilities in Türkiye, a country that ranks among the top five hosts of the world’s largest refugee populations.</jats:p>",
006-225-016-480-359,1994,"The purpose of the present study was to compare the home-based literacy experiences of children with single disabilities with those of children who have multiple disabilities. Written surveys were completed by the parent or primary guardian of 168 preschool children enrolled in early childhood special education programs. The completed surveys were sorted into two groups: one representing children with a single disability and one representing children with two or more disabilities. Respondents also provided information about the materials, activities, and interactions in the home that engaged their children with print, reading, writing, or drawing. Overall, less than half of the children in either group were read to daily or engaged in writing or drawing activities on a weekly basis. Fewer respondents for children with multiple disabilities reported sitting beside their child while reading, encouraging their child during attempts to write or draw, or exposing their child to a full range of printed material...",
006-249-983-283-218,2020,"This study of the relationship between early receptive vocabulary development and social-emotional competencies examines differences among typically developing children and peers with disabilities within a state-wide program that meets all 10 of National Institute for Early Education Research (Barnett et al. 2017) programmatic benchmarks for quality early learning. Findings show that children in the sample with higher total protective factors have fewer externalized behavioral concerns and higher language development, and that children with disabilities in the sample differ in their ability to self-regulate or take initiative, and are rated higher for behavioral concerns. All children, however, increased their language above expected developmental trends after 1 year in the quality pre-K classroom. Recommendations are provided for how to deliver quality early learning that includes supporting all children’s social-emotional and language development.",
