Lens ID,Title,Publication Year,Abstract,Keywords,MeSH Terms
003-176-316-923-425,"'This may not be represented in the curriculum documents', an analysis of early childhood education curriculum from Ontario college programs.",2023,"<jats:p>This study examines the way in which Early Childhood Educators trained in Ontario college programs are prepared to work with queer populations upon entering the field. This study used post-structuralist, queer feminist, and critical disability theoretical frameworks while analysing the data. A content analysis, informed by critical discourse analysis, was used to assess program documents. Course descriptions from ECE program websites were collected, as well as a total of 33 course outlines from 11 different Ontario college ECE programs, and 9 textbooks identified through the course outlines. Queer content was found to be absent from all but 5 course outlines and 4 textbooks. The need to have queer issues included formally in Ontario ECE curriculum, the othering of queer populations, and the erasure of queer identities are discussed.; Key</jats:p>",queer inclusion; early childhood education; curriculum; critical discourse analysis,
003-182-999-150-281,The impact of public policies on families with young handicapped children,1981,,,
003-198-833-128-865,Early childhood inclusion in Australia,2016,"<jats:p>From the introduction of early intervention services in Australian in the mid-1970s, the families of children with intellectual and multiple disabilities have been encouraged to enroll their children in local preschools and childcare centers. Children with disabilities have also accessed a range of alternatives to full inclusion, such as reverse inclusion and partial inclusion; however, the availability of the range of inclusive options has been limited. Although federal and state governments provide funding to support inclusion, the value of the support has been diminished by difficulties associated with the funding application processes and the lack of skills of early childhood staff and supporting specialists. Recent changes to early childhood provision in Australia have increased the potential of early childhood services to better provide for children with a range of disabilities. The barrier of specialist staff inadequately prepared to support early childhood professionals to promote full participation in center activities remains.</jats:p>",,
003-275-031-689-800,Attitudes of early childhood and preschool education students and teachers towards inclusion of children with Down syndrome,2020,"This study sought to see the difference in attitudes between early childhood and preschool education teachers and students towards the inclusion of children with Down syndrome in kindergartens. The research included teachers from three kindergartens in the City of Split, as well as early childhood and preschool education students at the Faculty of Humanities and Social Sciences in Split. A questionnaire on the assessment of attitudes towards the inclusion of children with Down syndrome was used. The results are presented through thematic statements grouped by content as follows: personal attitude towards inclusion of children with Down syndrome; inclusion success; knowledge and training; kindergarten and inclusion; and attitudes towards parents of children with Down syndrome. The results showed that there was no statistically significant difference between teachers and students in terms of their attitudes towards inclusion. The results of teachers towards the partial integration of children with Down syndrome are significant. Based on the conducted research, it can be concluded there is a need for additional education in this field due to the lack of content, in formal and non-formal education of teachers, addressing the issue of the inclusion of children with Down syndrome and children with disabilities in general. It is necessary to follow the topic of inclusion in the context of kindergarten through a long-term research, using a more sensitive and comprehensive instrument, and a larger sample. If its sensitivity is increased, this instrument can be recommended to be used for all children with developmental disabilities, not just children with DS. Contribution /Originality: This study contributes to the existing literature and research on attitudes towards inclusion of children with Down syndrome. It brings results on the difference in attitudes of teachers with work experience and early childhood and preschool education students on the inclusion of children with Down syndrome in kindergartens.",,
003-333-036-958-507,The effects of using a learning cycle model - based curriculum modification for the development of mathematical abilities of preschoolers with disabilities in inclusive settings.,2012,,,
003-390-104-061-963,Peer Effects in Early Childhood Education Testing the Assumptions of Special-Education Inclusion,2014,"There has been a push in recent years for students with disabilities to be educated alongside their typically developing peers, a practice called inclusion. In this study, we sought to determine whether peer effects operate within early-childhood special-education (ECSE) classrooms in which preschoolers with disabilities are educated alongside typical peers. Peer effects specific to language growth were assessed for 670 preschoolers (mean age = 52 months) in 83 ECSE classrooms; 55% of the children had disabilities. We found that the average language skills of classmates, as assessed in the fall of the year, significantly predicted children's language skills in the spring (after controlling for their relative skill level in the fall); in addition, there was a significant interactive effect of disability status (i.e., the presence or absence of a disability) and peers' language skills. Peer effects were the least consequential for children without disabilities whose classmates had relatively strong language skills, and the most consequential for children with disabilities whose classmates had relatively poor language skills.",childhood development; disabilities; language; language development; schools,"Child Development; Child, Preschool; Developmental Disabilities; Education, Special; Female; Humans; Language Development; Mainstreaming, Education; Male; Peer Group"
003-554-576-885-301,A Successful Kindergarten Transition for Children with Disabilities: Collaboration Throughout the Process.,2021,"The transition to kindergarten can be a memorable, yet stressful time for children and families. For children with disabilities and their caregivers, the transition to kindergarten can be especially difficult due to changes in environment, supports, and services that occur as part of the transition. The purpose of this article is to highlight specific practices and strategies that can enhance collaboration throughout the transition to kindergarten. Fictional vignettes are used to describe the perspectives of, and also the practices and strategies used by, members of an education team as they support a child with a disability and her caregiver. Readers are provided with examples of practices and planning tools that can be used to support children with disabilities throughout the transition to kindergarten process. High-intensity transition practices and strategies that can be used before, during, and after kindergarten transition are specifically highlighted. Additionally, the need for both preschool and kindergarten collaboration and support is emphasized.",Collaboration; Disabilities; Kindergarten; Preschool; Transition,
003-708-769-785-330,An Analysis of Research Trends Regarding Under the Age of 36 Months Children with Disabilities in Korea: Literature Review of the Studies Published in 2006∼2015,2016,,,
003-737-117-044-855,Empowering Culturally Diverse Families of Young Children with Disabilities: The Double ABCX Model,2007,"Many culturally diverse families and their young children with disabilities or delays are not provided appropriate early intervention/early childhood special education services, especially not in a culturally sensitive and meaningful context. Families with diverse backgrounds often feel helpless and stressful because their values are not respected, concerns are not identified, and therefore their needs are not met due to the lack of support from appropriate resources. The purpose of this article is to provide a positive strategy to empower families of young children with special needs and who are from culturally diverse backgrounds through a family-centered, strength-focused family system model: Double ABCX model. Procedures of implementing the double ABCX model was described and discussed. Supported by previous research and the current case studies, the double ABCX family adaptation model has found to be an effective approach to serving diverse families of children with disabilities.",family empowerment; cultural diversity; coping strategies; ABCX model,
003-786-440-289-984,Academic Behavior and Grades of Mainstreamed Students with Mild Disabilities,1992,"This study examined the relationship between the classroom behaviors and final grades of mainstreamed students with mild disabilities in three urban schools in Grades 3-9. Significant correlations were found for all academic behaviors except attendance and homework at the elementary level and written work at the junior high level. In addition, significant differences in reading scores were found between mainstreamed and regular elementary school students. Findings indicate that mainstreamed students with mild disabilities may participate in academic lessons as well or nearly as well as their peers without disabilities.",,"Achievement; Adolescent; Aptitude; Attention; Child; Female; Humans; Learning Disabilities/psychology; Mainstreaming, Education; Male; Peer Group"
003-916-445-020-047,Understanding Disability,2020,,,
004-010-254-291-587,Early Childhood Special Education Teachers’ Job Burnout and Psychological Stress,2021,"Research Findings: All teachers have demanding jobs and work with limited resources. However, working with young children with disabilities may place additional demands on early childhood special e...",Early childhood special education teacher; internal resources; job burnout; job demands; job resources; psychological stress; teacher well-being,
004-195-148-501-898,Inclusion in early childhood education and care (ECEC),2026,"This chapter is written at a time when it seems that more and more children are presenting with special educational needs and disabilities (SEND) in early childhood education and care (ECEC). Although the chapter is based within the United Kingdom context, several world events have highlighted the need for more robust inclusive practice, so that all young children are able to fully access early education. A definition of inclusion within an early childhood context is set out. Current legalisation and policies that frame inclusive practice in early education are examined. There is a discussion about how inclusion can be reframed to promote a strength-based approach in which the medical and social model of disability is explained. Notions of normality are considered. The personal and pedagogical responses of early educators to children who may need reasonable adjustments are also discussed. Readers are encouraged to complete the research and reflective tasks, which punctuate the chapter, to enhance their practice and learning.",,
004-195-263-403-978,The Comparison of Multicultural Belief and Teacher Efficacy between Pre-service Early Childhood Special Education Teachers and Pre-service Early Childhood Education Teachers,2013,,,
004-378-358-440-255,From the Guest Editors: Inclusive Early Childhood Teacher Education,2011,"The United Nations estimates that 10% of the global population has a disability, and the UN Convention on the Rights of Persons with Disabilities (2006), which has been widely ratified, explicitly ...",,
004-591-055-915-797,Experience-based factors influencing perceptions and attitudes of pre-service early childhood education teachers toward inclusive education for young children with disabilities,2014,,,
005-223-773-009-876,Examining Response to Intervention Using a Framework of Best Practice from Early Childhood Special Education.,2013,"Response to Intervention (RTI) models are likely to be implemented in early childhood settings with greater frequency to target academic and developmental skills. With an increasing number of classrooms serving children with identified special needs, it is necessary to examine how current frameworks for RTI models meet the needs of all children in the classroom, including those with identified developmental delays and disabilities. To do this, we reviewed five comprehensive RTI models proposed for preschool classrooms according to a framework based on foundational tenets in early childhood special education practice. Two independent researchers coded articles that described RTI models for presence of the foundational tenets and associated evidence-based practices described by Odom and Wolery (2003). Several foundational tenets were contained in the majority of RTI models, whereas others were not addressed adequately. Results provide the early childhood education and early childhood special education field...",,
005-266-396-152-131,Pan-Canadian Approach to Convention on the Rights of Persons with Disabilities,2024,"<jats:p>&lt;p&gt;Through this study I aim to analyze the current actions taken by provinces and territories in addressing the Convention on the Rights of Persons with Disabilities (CRPD). I used the CRPD consideration of report submitted by Canada regarding steps being taken to address the Convention. The study uses Critical Disability Studies, Disabled Childhood and Human Rights Approach as a theoretical framework. The analysis in the study followed the provision, participation and protection framework to interpret the data. Lastly, I suggest some implications regarding the importance of developing a federal plan.&lt;/p&gt;</jats:p>",,
005-279-106-223-740,EFFECTS OF COMPUTER-ASSISTED INSTRUCTION USING MULTIPLE VIDEO EXEMPLARS TO INCREASE SAFETY SKILL KNOWLEDGE WITH STUDENTS WITH INTELLECTUAL DISABILITY,,"OF THESIS EFFECTS OF COMPUTER-ASSISTED INSTRUCTION USING MULTIPLE VIDEO EXEMPLARS TO INCREASE SAFETY SKILL KNOWLEDGE WITH STUDENTS WITH INTELLECTUAL DISABILITY The purpose of the study was to assess the effect of a treatment package consisting of computer-assisted instruction using multiple video exemplars to teach safety skills to students with intellectual disability. A multiple probe across participants design was used to evaluate knowledge acquisition and the generalization of knowledge to the authentic setting (e.g, the school parking lot). The results showed training was effective in knowledge acquisition and improving skills demonstrated while crossing the parking lot.",Theses and Dissertations--Early Childhood; Special Education; and Rehabilitation Counseling Early Childhood; Special Education; and Rehabilitation Counseling Moderate and severe disabilities; computer-assisted instruction; multiple exemplars; video models; safety skill,
005-641-749-876-437,Measuring Young Children’s Attitudes Toward Peers With Disabilities: Highlights From the Research,2012,"Young children with disabilities are increasingly attending inclusive early childhood programs with their typically developing peers. Within these programs, research efforts and practice have suppo...",,
005-656-490-077-098,Handbook of Early Childhood Intervention: Early Childhood Mental Health Services: A Policy and Systems Development Perspective,2000,"Knowledge about how young children develop and thrive has been growing over the past decades. So too have understandings about how environmental and biological risks can affect their cognitive, physical, and social development (Meisels & Shonkoff, 1990). This knowledge formed the basis of special education laws to create incentives for the development of family-centered services to young children with developmental delays or disabilities or, in some instances, those at risk of delays and disabilities. In theory, these laws include attention to social and emotional problems in young children. Yet, in practice, little policy or practice has focused on family-centered services to young children with emotional or behavioral disabilities or those at high risk of developing them (Knitzer, 1996a,b). Put differently, little attention has been paid to what, for the purposes of this chapter, is called “early childhood mental health.” This chapter argues that the need for early childhood mental health services and systems development is critical. To make the case, it draws on knowledge reported by practitioners and on empirical data to the extent that these are available. (Unfortunately, because this is an emerging field of public concern, it has not yet been well studied.) This chapter also highlights the potential connections between meeting publicly espoused early childhood social goals and addressing early childhood mental health issues. Finally, it argues that barriers and obstacles to creating responsive policies and nurturing a field of practice are considerable and pose some general directions for action.",,
005-660-618-904-139,Implementation Difficulties and Politic Support Needs of Directors of Child Care and Education Center for Children with Disabilities: Based on Gyeonggi Province,2012,,,
005-842-635-763-881,"Early childhood inclusive education in Thailand: a critical analysis of beliefs, knowledge, skills and practices",,"Recognising that inclusive education is critical to advancing All children’s development, social inclusion and future productivity, this doctoral thesis seeks to engage the field of Thailand’s early childhood inclusive education in a theoretical and practical conversation. Using Pierre Bourdieu’s conceptual tools (Capital, Field and Habitus), the study explores and critically analyses the facilitators and barriers to early childhood inclusive education in terms of teachers and education policy maker’s inclusive knowledge, beliefs, skills and practices in Bangkok, the capital city of Thailand. The conceptualisation from which this thesis is based, suggests that early childhood inclusive practice “exists in a social space given life through constant power struggles” (Eacott, 2010, p. 221). It is this contested space that defines the philosophy and practice of inclusive education, and arguably, teachers and policy makers’ everyday practices. Using a mixed method design underpinned by Bourdieuian eclectic methodology and analysis, the study found that the early childhood teachers have limited knowledge and understanding of inclusive education and practice which they have attributed to: (1) a lack of effective training in inclusive education (2) inclusive education for young children is a new educational concept and agenda in Thailand. The study further identified that although the policy makers agreed that legislation and policy on inclusive education is adequate, this is not backed by effective implementation in real practice. Teachers reported that they felt significant stress and helplessness in their classrooms when planning teaching to meet the learning and developmental needs of children with disability and those with additional education needs. The teachers attributed these stressors to not knowing what to do with children with disability in their classes in addition to supports that were not forthcoming in their teaching of children with disability. Furthermore, the study uncovered that relational and cultural-religious beliefs of reincarnation and hierarchical relationships posed barriers to inclusive education in the early years classrooms in Thailand. This means, a number of children in the early childhood settings that claimed to be inclusive, are actually in search of inclusion.; The major implications glean from this study highlight the need for quality professional education, training and retraining of stakeholders (teachers, policy makers, support personnel etc) in leveraging knowledge and practice in educating children with disability/additional education needs. The study underscores the need for policy monitoring, flexibility in curricula, funding and novel ways of theorising issues of exclusion and inclusion. To accomplish these, the study provides a model to inform the development of a culturally relevant inclusive education for all young children in Thailand.",,
006-091-716-620-42X,Concepts of Engagement in Inclusive Settings and Literature Review on Intervention of Engagement of Preschoolers with Disabilities,2017,,,
006-225-016-480-359,Home Literacy Experiences of Preschool Children with Single and Multiple Disabilities,1994,"The purpose of the present study was to compare the home-based literacy experiences of children with single disabilities with those of children who have multiple disabilities. Written surveys were completed by the parent or primary guardian of 168 preschool children enrolled in early childhood special education programs. The completed surveys were sorted into two groups: one representing children with a single disability and one representing children with two or more disabilities. Respondents also provided information about the materials, activities, and interactions in the home that engaged their children with print, reading, writing, or drawing. Overall, less than half of the children in either group were read to daily or engaged in writing or drawing activities on a weekly basis. Fewer respondents for children with multiple disabilities reported sitting beside their child while reading, encouraging their child during attempts to write or draw, or exposing their child to a full range of printed material...",,
006-243-804-234-094,Beyond Inclusion: Disability Studies in Early Childhood Teacher Education,2011,"Since its inception, the field of early childhood special education has been steeped in deficit model understandings of disability. From this vantage point, disability has been reduced to a set of problems or deficiencies inherent in individuals’ bodies. Entangled with problematic ideologies of racism and classism, disability labels soon became a tool for othering “other people’s children.” Recently, however, scholars in Disability Studies in Education have begun the task of troubling these shared histories of exclusion and rewriting the very text of dis/ability. Central to this work involves troubling taken-for-granted ideas about diversity and difference as well as our responses to difference in the classroom. In this chapter we explore what it might mean to embrace a disability studies perspective in early childhood special education. Specifically, we show how this shift would entail: (1) confronting ableism in theory and practice; (2) adopting an ethic of belonging and becoming; and (3) moving beyond inclusion toward honoring disability identity, culture, and politics.",,
006-249-983-283-218,An Exploration of Language and Social-Emotional Development of Children with and without Disabilities in a Statewide Pre-Kindergarten Program,2020,"This study of the relationship between early receptive vocabulary development and social-emotional competencies examines differences among typically developing children and peers with disabilities within a state-wide program that meets all 10 of National Institute for Early Education Research (Barnett et al. 2017) programmatic benchmarks for quality early learning. Findings show that children in the sample with higher total protective factors have fewer externalized behavioral concerns and higher language development, and that children with disabilities in the sample differ in their ability to self-regulate or take initiative, and are rated higher for behavioral concerns. All children, however, increased their language above expected developmental trends after 1 year in the quality pre-K classroom. Recommendations are provided for how to deliver quality early learning that includes supporting all children’s social-emotional and language development.",,
006-550-885-447-517,The Effects of the Activity Using the Picture book related to Disability on Disability Awareness and Acceptance Attitude toward Young Children with Disabilities,2016,,,
006-709-094-012-21X,CASE STUDY OF EARLY CHILDHOOD SPECIAL NEEDS IN SIDOHARJO VILLAGE,2015,"This study aimed to describe: (1) the growing number of early childhood with special needs, (2)special need in early childhood, (3) intervention that received by early childhoodspecial needs, and(4) the potentialability of early childhood with special needs in Sidoharjo Village, District Jambon, Ponorogo. Using qualitative approach withcase studymulticase method. Data were collected through observation, interviews, and documentatio nare supported by field notes. The analysis used Spradley model analysis with an examination of the validity of the data through the credibility test, transferability test, dependability test, and confirmability test. The results showed that(1) the amount of the existence of early childhood with special needs in Sidoharjo, Jambon, Ponorogo has decreased. It is because of the caring of government by health service, education, and parents awareness was increasing, (2) the special needs of early childhood are identificated: down syndrome, withdrawal, learning disability, and multiple disability, (3) interventionthat received by special needs of early childhood: physical interventions, health, and education, (4) the potential capabilities from early childhood with special need include:gross motor skills and independence, memorization of listening, gross motor skills, singing and recitation through listening, and ability to see and hear as a basic modality to have social interaction with others.",,
006-716-477-395-700,Public Policy Report. Early Childhood Programs and the Americans with Disabilities Act (ADA).,1992,,,
006-827-080-239-218,Metaphor Analysis of Pre-service Early Childhood Teachers' Inclusive education Practicum,2020,,,
006-841-680-380-574,Developmentally Appropriate Practices and Early Childhood Special Education A Reaction to Johnson and McChesney Johnson,1993,"In 1991, we published a paper in TECSE arguing that the guidelines set forth by the National Association for the Education of Young Children on Developmentally Appropriate Practice (DAP) were necessary, but not sufficient, for evaluating programs serving young children with special needs. This paper met with some criticism, most recently in a paper by Johnson and McChesney Johnson (1992). That paper provided a theoretical defense of DAP for young children with disabilities and discussed objections to some early childhood special education (ECSE) practices from a developmental perspective. In the present article, we attempt to redirect the debate about the appropriateness of DAP for young children with disabilities from an exchange about the differences between the DAP guidelines and ECSE practices to a discussion of the many areas of overlap between these two rich sources of information about educational practices for young children.",,
006-895-428-985-014,Inclusion in kindergarten? The concept of disability and inclusive education among pre-service early childhood educators,2025,"<jats:p>Context: Despite extensive research on school teachers’ attitudes, the perspectives of early childhood educators have been largely overlooked. Studies suggest that positive attitudes toward inclusion and a social understanding of disability are essential for identifying barriers, promoting participation and successfully implementing inclusive practices. Despite extensive research on school teachers’ attitudes, the perspectives of early childhood educators remain underrepresented; Methods: This study surveyed 126 pre-service educators from three Bavarian vocational schools using a mixed-methods design. While quantitative data examined attitudes toward inclusion and agreement to the social model of disability, qualitative insights were drawn from semi-structured interviews.; Findings: Confirmatory factors analysis supported the reliability of the social understanding of disability scale, while the inclusion scale did not reach acceptable fit levels. Participants showed positive attitudes toward support and social integration, but had neutral to slightly negative views of the social model of disability. A structural equation modelling showed a good fit to the data and indicated that social contact with individuals with disabilities positively influenced the agreement to the social model of disability, though such contact was infrequent (CMIN/df = 1.38, CFI = .96, IFI = .96, TLI = .93, RMSEA = .05). This relationship was mediated by parental educational background. Interview data showed that participants felt underprepared for implementing inclusive practices, primary understood disability through medical lens and are more in favour of segregated groups rather than inclusive groups.; Conclusion: Pre-service educators support inclusion but feel insufficiently trained and do not see themselves as responsible for implementing inclusive practices. Social contact and family educational background show small positive effects on adopting a social understanding of disability, highlighting the need for training programs to provide meaningful interactions with individuals with disabilities and strengthen preparation for inclusive early childhood education.</jats:p>",,
006-912-212-448-596,Reflections on the use of mixed reality to prepare early childhood educators to support diverse family needs,2022,Two instructors collaborated across programs in a School of Education to bring mixed reality simulation to preservice early childhood educators in an effort to utilize content knowledge to practice challenging conversations. The scenario chosen was a parent-teacher conference focused on supporting a child with disabilities in an inclusive early childhood preschool classroom. The authors discuss the process of implementing mixed reality simulation in Early Childhood Studies and potential implications for lifelong impact of family engagement throughout a child's schooling experiences and the use of mixed reality in teacher preparation. Interdisciplinary collaboration across programs within a school of education are considered.,,
007-063-489-739-735,Family-Directed Child Evaluation and Assessment under IDEA: Lessons from Families and Programs.,1995,"This report discusses policies and practices for family-directed child evaluation and assessment under the Individuals with Disabilities Education Act (IDEA). The scope of the report includes practices across the early childhood spectrum, from birth through 5 years. Commonly used terminology is defined. Issues discussed include: the primacy of families with respect to their children, cultural and linguistic diversity, the use of technological advances, and information about a child's health status and needs. Brief recommendations for policymakers are given and lists of the U.S. Department of Education's Early Education Program for Children with Disabilities (EEPCD) projects, as well as other resources, are included.",,
007-130-221-978-396,Influence of Resource Availability on Disability-inclusion in Under-resourced Early Childhood Development Centers,2024,"<jats:p>This study analyzed the influence of resource availability on inclusion of children with various disabilities in rural early childhood development centers in Zimbabwe. A qualitative descriptive design utilizing questionnaires and interviews was used to collect data from 36 teachers, 12 school-heads and 24 parents of children with disabilities who were purposefully sampled. Deductive thematic analysis was used to identify themes emerging from open-ended questionnaire items and interviews. The study revealed that disability-friendly commercial resources were unavailable, and this negatively influenced the inclusion of children with disabilities who were unable to freely participate in play activities and so were isolated to a large extent. This is despite widely available indigenous resources that were not utilized as inclusive supports. The study’s findings are utilized to build a case for a heritage-based model of inclusive education.</jats:p>",,
007-336-822-971-724,Collaboration of Teacher Education and Child Disability Health Care: Transdisciplinary Approach to Inclusive Practice for Early Childhood Pre-Service Teachers,2010,"The purpose of this paper is to describe the collaborative efforts between an Early Childhood Teacher Education Program and a Child Disability Health Care Program to incorporate a transdisciplinary model in the preparation of early childhood teachers in inclusive practice. Recent studies suggest essential components of teacher preparation in early childhood inclusion include: helping students construct a positive image of inclusive practice, incorporating a family-centered approach, and collaborating and relationship building across disciplines (Campbell et al. 2003; Pretti-Frontczak et al. 2002 and Able-Boone et al. 2002). In this paper, we describe the collaboration between the University of Michigan-Dearborn Early Childhood Teacher Education Program and Oakwood Health Care Center for Exceptional Families to co-teach and mentor early childhood pre-service teachers as they create a family-centered event for children with disabilities and their typically developing peers in a natural environment. Researchers analyze student reflection papers about the family-centered event for evidence of new learning about child disability and inclusive practice. The reflections demonstrate the power of the students’ active role in creating and implementing family-centered activities in a collaborative context. Other key reflective components include rewards and challenges in creating inclusive contexts, integral role of families in supporting child relationships in natural settings, and collaboration and teaming.",,
007-491-339-496-062,Early Childhood Education Interventions for Children with Disabilities Intervention Report: Social Skills Training,2013,,,
007-517-886-234-208,The Influence that the Elementary School’s Transition Support Program Focusing on the Intervention in the Daily Schedule at Special Schools for Young Children Has on School Life Preparation Skills of Young Children with Disabilities,2019,,,
007-555-594-790-250,Using a Highly Rated Classroom Environment to Foster High-Quality Inclusive Practices,2025,"<jats:p>With the November, 2023 release of the Policy Statement on Inclusion of Children with Disabilities in Early Childhood Programs by the Departments of Education and Health and Human Services, and the continuing work being done to further inclusive education, it is more important than ever to address the factors of quality early childhood programs that contribute to authentic inclusive opportunities for all students. Although there is research to support inclusion, and many classroom rating scales are validated and backed by research, there is little crossover to address how these factors, together, work to benefit a quality inclusive education for all children. In this dialog from the field article, we address the resources available to easily use the elements of a high-quality early childhood classroom to foster belonging, access, participation, and supports for students with disabilities in Head Start classrooms.</jats:p>",,
