Lens ID,Title,Publication Year,Source Country,Author/s,Keywords
005-793-458-177-671,Long COVID and recovery from Long COVID: Quality of life impairments and subjective cognitive decline at a median of 2 years after initial infection,2023,,Warren Szewczyk; Annette L Fitzpatrick; Herve Fossou; Nicole L Gentile; Nona Sotoodehnia; Surabhi Vora; T Eoin West; Jeanne Bertolli; Jennifer R Cope; Jin-Mann Lin; Elizabeth Unger; Quan M Vu,
005-968-594-442-873,Impact of Long COVID on Health-Related Quality of Life Among Patients After Acute COVID-19 Infection: A Cross-Sectional Study.,2024,United States,Chengyao Sun; Ziwei Liu; Sixuan Li; Yuqi Wang; Guoxiang Liu,COVID-19; China; health-related quality of life; long COVID; persistent symptoms
006-185-390-964-595,Cognitive-linguistic difficulties in adults with Long COVID: A follow-up study,2024,,Louise Cummings,
006-377-592-479-367,"Post-COVID Symptoms in Long-Haulers: Definition, Identification, Mechanisms, and Management-Part II",2024,,César Fernández-de-las-Peñas; Domingo Palacios-Ceña,
006-416-570-460-760,Long COVID from rheumatology perspective - a narrative review.,2021,Germany,Hem Raj Sapkota; Arvind Nune,Long COVID; Post COVID-19 condition; Post-COVID-19 syndrome; Rheumatology; Systemic autoimmune rheumatic diseases
006-436-652-644-748,"OP30 Do stressors increase the risk of long COVID? A longitudinal study of adversity worries and experiences in the two months prior to COVID-19 infection and the development of long COVID in 1,962 UK adults",2022,,Elise Paul; Daisy Fancourt,
006-591-281-612-594,"Searching for the Definition of Long Covid: ""Case Definitions"" and Candidate ""Diagnostic Criteria""",2025,,Alexander Franke,
006-711-710-891-549,A model framework for projecting the prevalence and impact of Long-COVID in the UK,2021,,Chris Martin; Stuart McDonald; Michiel Luteijn; Josephine Robertson; William Letton,Long-COVID; SARS-CoV-2; COVID-19; EQ-5D; Quality Adjusted Life Years
006-767-986-152-811,Asthma and Long Covid a systematic review,2024,,Michael Bleiker; Cezmi Akdis; Milena Sokolowska; Cardoso Vigueros Carlos; Alaa Sherri; Urszula Radzikowska,
006-863-346-612-314,A Survey of the Various Methods and Models Used to Detect Long COVID,2022,,Parvathy S S; Nagesh Subbanna; Sethuraman Rao; Rahul Krishnan Pathinarupothi,
006-896-026-687-094,Long-term Care and COVID-19,2026,,Department of Health and Human Services. Centers for Disease Control and Prevention; Center for Health Statistics,
006-953-786-274-020,Living with long COVID,2021,,Deborah Duncan,
007-215-400-456-780,"Long covid: nearly half of doctors affected can no longer work full time, finds survey.",2023,United Kingdom,Adele Waters,
007-484-532-442-861,Possibilities of using a heated oxygen-helium mixture in patients during the long-COVID period,2022,,E. A. PRASKURNICHY; O. S. ORLOVA; N. B. PAVLOV; S. I. ZENKOVA,
007-509-697-986-355,Long COVID?,2022,Germany,Reinhold Kerbl,
007-656-460-141-952,"Conclusion: Long COVID, long racism",2023,,Vini Lander; Vini Lander; Vini Lander,
007-764-388-862-656,An emerging cause of chronic fatigue and pain : post-COVID-19 condition or long COVID,2023,Belgium,Majdouline El Moussaoui; Julien Guiot; Frédéric Frippiat; Gilles Darcis,COVID-19; Post-COVID conditions; Post-COVID-19; SARS-CoV-2; long COVID
007-799-576-768-341,"Report on Long COVID Urges Actions to Address Needs of Patients, Caregivers.",2022,United States,Joan Stephenson,
008-025-904-593-323,Long COVID syndrome,2023,,Giuseppe Alvise Ramirez,
008-126-659-868-09X,425. Characterization and predictive risk scoring of long COVID in a South Indian cohort after breakthrough COVID infection; a prospective single centre study,2023,United States,Merlin Moni; Pranav Nair; Chithira Nair; Kiran Kulirankal; Elizabeth Corley; Fabia Edathadathil; Georg Gutajhr; Dipu T Sathyapalan,
008-176-026-052-467,"Long-COVID stress symptoms: Mental health, anxiety, depression, or posttraumatic stress.",2023,United States,Leia Y Saltzman; Michele Longo; Tonya C Hansel,
008-202-740-107-337,"Long COVID, even longer pandemia",2022,,Falk Kiefer,
008-282-785-316-637,The Future of Long COVID,2025,,Elle O'Brien; Joanne Wrench; Danielle Hitch,
008-520-133-925-569,Living with Long COVID in a Southern State: A Comparison of Black and White Residents of North Carolina.,2025,Switzerland,William Pilkington; Brooke E Bauer; Irene A Doherty,disparities; lived experience; long COVID; minority populations; social determinants
008-525-629-763-893,"Identifying and Mitigating the Public Health Consequences of Meta-Ignorance about ""Long COVID"" Risks",2024,,Matt Motta; Timothy Callaghan; Jennifer Ross; Medini Padmanabhan; Lisa Gargano; Sarah Bowman; David Vincent Yokum,
008-898-140-163-720,Long COVID: The long-term health effects of COVID-19,2021,,Cristiana Vagnoni,
008-923-491-963-30X,"Covid-19: Long covid must be recognised as occupational disease, says BMA.",2021,United Kingdom,Elisabeth Mahase,
008-963-287-928-220,"Impact of a COVID-19 outbreak in a long-term care facility in Barcelona, Spain: The role of a COVID-19 prevention and control program",2020,,Gabriel Vallecillo; Marta Anguera; Noemi Martin; Cristina González; Consol Serra; Juan Pablo Horcajada; Victor L. Perez,COVID-19; Outbreak; Long-term care; Older people
009-273-757-046-328,Pre-pandemic activity on a myalgic encephalomyelitis/chronic fatigue syndrome support forum is highly associated with later activity on a long COVID support forum for a variety of reasons: a mixed methods study,2023,,William U Meyerson; Rick H Hoyle,
009-438-768-198-821,How and why patients made Long Covid.,2020,United Kingdom,Felicity Callard; Elisa Perego,COVID-19; Chronic illness; Citizen science; Long Covid; Long-hauler; Patient activism; Patient groups; SARS-CoV-2
009-446-053-269-630,"Long Covid Perspectives: history, paradigm shifts, global challenges",2023,,Elisa Perego,
009-544-069-158-790,"Long COVID Research, 2020-2024: A PubMed-Based Bibliometric Analysis.",2025,Switzerland,Cristina Honorato-Cia; Elena Cacho-Asenjo; Antonio Martinez-Simon; Irene Aquerreta; Jorge M Núñez-Córdoba,COVID-19; SARS-CoV-2; bibliometrics; chronic COVID-19; long COVID; post COVID-19; post-acute sequelae; research profile
009-565-410-652-550,Effect of COVID Vaccine on Long COVID: An Observational Study on Hospitalised Patients in North India,2024,,Sandeep Budhiraja; Abhaya Indrayan; Monica Mahajan,
009-961-992-422-134,"An Overview of Clinical Features, and Medical Access Among Patients with Post-Acute COVID-19 Syndromes: Analysis of a Nationwide Survey in Korea",2022,,Doori Kim; Ui Min Jerng; Jee Young Lee,
009-987-475-812-850,Grappling with long covid,2022,United States,Claire Ainsworth,
010-033-836-517-485,The microvascular hypothesis underlying neurologic manifestations of long COVID-19 and possible therapeutic strategies.,2021,United States,null null,long COVID-19; microvascular dysfunction; neurologic manifestations; neurovascular regenerative drugs
010-044-729-330-977,The neurobiology of long COVID.,2022,United States,Michelle Monje; Akiko Iwasaki,COVID-19; EBV; HSV; PAISs; SARS-CoV-2; astrocytes; autoimmunity; blood-brain-barrier; cognitive impairment; hippocampal neurogenesis; long COVID; microglia; microvascular disease; myelin; post-acute infection syndromes
010-052-035-658-994,Research on the Prevention and Control of COVID-19 Risk in Long-term Care Facilities based on Prospect Theory,2020,,Fengying Zhang; Jianhui Kong; Xiaofeng Xie; Kai Xu; Zongfang Zhou,
010-158-756-477-339,"Perceptions, acceptability and experiences of yoga to support long-COVID: A survey of people living with long-COVID",2025,,Anna Cheshire; Tina Cartwright,
010-173-019-555-400,Identification of Natural Compounds for Long COVID Based on Hub Gene Biomarkers and Repurposed Drugs,2024,,Dinesh Davagandhi; Suresh Kumar,
010-181-518-837-306,Candida and Long Covid,2024,,Patrick Chambers,
010-321-096-997-853,"Long COVID Treatment No Silver Bullets, Only a Few Bronze BBs",2025,,Robert Martin,
010-323-353-229-214,Frailty and Disability: Predictors or Outcomes or Both in Post COVID-19.,2022,United States,Patricia Anne O'Malley,
010-424-392-687-122,Long COVID: Rapid Evidence Review.,2022,United States,Eric Herman; Elizabeth Shih; Anthony Cheng,
010-482-038-094-960,408. Clinical Spectrum of Pediatric Long COVID and Impact of COVID-19 Vaccines on the Clinical Course,2023,United States,Dina Kamel; Jeffrey Bender; David Warburton; John C Wood; Sindhu Mohandas,
010-564-657-740-203,The state of the people: long-term health impacts of COVID-19: [Long COVID],2025,,Human Sciences Research Council,
010-718-860-009-650,Comprehensively identifying Long Covid articles with human-in-the-loop machine learning,2022,,Robert Leaman; Rezarta Islamaj; Alexis Allot; Qingyu Chen; W. John Wilbur; Zhiyong Lu,
010-854-501-385-925,The Brain and Long COVID,2023,United States,Stephani Sutherland,
011-028-709-719-260,"Wearable Devices for Long COVID: Prospects, Challenges and Options.",2024,Singapore,Hui Yun Chan,COVID-19 ; Long COVID; Public health; Sensors; Wearable devices
011-032-566-683-919,Abandoned by governments and employers.,2022,United Kingdom,Alison Twycross; Jenny Ceolta-Smith; Clare Rayner,
011-090-438-923-24X,663. Long COVID Phenotype Risk Score Reveals Protective Effect of Physical Activity,2026,United States,Bennett Waxse; Evelynne S Fulda; Josh Denny,
011-613-909-370-46X,The Long Covid abyss in Brazil; Is this another concern for an overwhelmed healthcare system?,2021,,Phiri P; Cavalini Hfs; Delanerolle G; J Shi; Shetty A; Magalhães Pf; Fernanda E; Padovez Rdfc; Neves Vr,• Long Covid LC: Long Covid; BMI: Body Mass Index; INR: International normalised ratio; CRP: C-reactive protein; BIPOC: Black  indigenous and other people of color
011-884-206-618-742,Long COVID Responses,2023,,Sharyn Digeronimo,
011-913-069-612-896,Community and Primary Care for People with Long COVID,2025,,Emma Tippett; Bernard Shiu; Br??????ghde Collins,
012-109-347-451-471,Transition beyond the acute phase of the COVID-19 pandemic: Need to address the long-term health impacts of COVID-19.,2022,United States,Constantinos Tsioutis; Andreas Tofarides; Nikolaos Spernovasilis,COVID-19; Long-covid; Long-term; Pandemic; Post-acute COVID-19 syndrome; Post-covid
012-113-931-600-634,Long COVID and possible preventive options.,2023,Switzerland,Szilvia Sebők; Klara Gyires,Clinical trials; Long COVID; Potential managements; Risk factors
012-596-022-065-75X,Long COVID and Disability,2024,,Nicholas G. Evans,
012-773-025-008-819,Children with long covid,2021,United States,Helen Thomson,
012-783-332-932-322,Long COVID affects working memory: Assessment using a single rapid online test,2025,,Aziz UR Asghar; Hong Kiu Yuen; Murat Aksoy; Abayomi Salawu; Heidi A Baseler,
012-813-126-437-763,Faktor yang Mempengaruhi Kejadian Long COVID Pada Penyintas COVID-19  di Kota Padang,2023,,Gusni Rahma; Yulia Yulia,
013-012-631-569-181,Managing Long COVID Syndrome,2023,United States,Brigid C. Flynn,
013-368-873-406-294,Efficacité de la vaccination contre la Covid-19 sur les symptômes du Covid long chez les patients ayant déjà un Covid long,2025,,null ComPaRe,
013-446-958-960-017,Treatment of Long-Haul COVID Patients With Off-Label Acyclovir.,2023,United States,Emily R German; Meera K Jairath; John Caston,acyclovir therapy; coronavirus disease (covid-19); covid 19; covid long haul syndrome; covid-19 neurological outcomes; covid-19-related encephalopathy; long-haul covid; psychological issues due to covid-19
013-548-209-769-757,Combined Therapy of COVID-19 Infection Consequences,2021,,O.V. Vorob'eva; Russian Federation Moscow,COVID-19 pandemic; Long COVID-19; post-COVID respiratory symptoms; chronic fatigue syndrome; therapy
013-892-413-971-883,Chronic long-COVID syndrome: A protracted COVID-19 illness with neurological dysfunctions.,2021,United States,Abdul Mannan Baig,COVID-19; SARS-CoV-2; long-COVID; neurological deficits; COVID‐19; long‐COVID; SARS‐CoV‐2
014-370-957-701-265,"Vaccination and Its Effects on Long COVID-19 Prevalence, Severity, and Clinical Outcomes: A Literature Review",2026,,Klevis Caushaj; Aldo Shpuza; Enver Roshi,
014-409-032-080-423,P109 Estimating the burden of Long COVID symptom clusters in Ireland in the first and second year of the pandemic,2023,,Tochukwu Igboanugo; Zubair Kabir,
014-725-598-009-903,Long COVID syndrome-associated clinical characteristic on the Qing Hai Plateau and plateau plants treatment strategies,2024,,Xiuting Cao,
014-883-093-054-358,Vascular complications in long COVID are very rare,2023,,Igor Končar; Darko Antić,
015-106-693-887-206,"#3498 LONG-COVID IN PATIENTS ON HEMODIALYSIS: A SINGLE CENTER ANALYSIS",2023,United Kingdom,Ana Trigo; Ana Rita Ramos; Rui Duarte; Flora Sofia; Karina Lopes; Paulo Santos,
015-118-213-644-925,An overview of clinical presentation and management of long COVID.,2025,United States,Sujith Sujith; Noah Gatzke,COVID-19; SARS-CoV-2; health practitioners; long COVID; management; postacute COVID syndrome; postacute sequelae of SARS-CoV-2 infection; risk factor; vaccine
015-385-295-072-508,"Patient Perspectives on Long COVID Advocacy, Care, and Research",2023,,Lisa McCorkell; Hannah Wei; Signe Redfield,
015-385-404-037-657,Long COVID Citizen Scientists: Developing a Needs-Based Research Agenda by Persons Affected by Long COVID.,2022,United Kingdom,Sarah Ziegler; Alessia Raineri; Vasileios Nittas; Natalie Rangelov; Fabian Vollrath; Chantal Britt; Milo A Puhan,
015-399-097-814-985,Characterizing health-related quality of life and identifying disease predictors among patients suspected of having long COVID: an analysis of COMET-ICE clinical trial data.,2024,Switzerland,Heather L Gelhorn; Parima Ghafoori; Katelyn Cutts; Helen Birch; Yulia Savva; Sacha Satram; Emily Lloyd; Wen-Hung Chen,COVID-19; disease predictor; health-related quality of life; impacts; long COVID; post-acute sequelae of COVID-19
015-545-547-185-163,Long-COVID or long before? Neurocognitive deficits in people with COVID-19.,2022,Netherlands,Anna Baumeister; Anja S Göritz; Charles Benoy; Lena Jelinek; Steffen Moritz,COVID-19; Depression; Follow-up; Neuropsychology; Psychiatry
015-710-808-903-87X,Dysautonomia and Implications for Anosmia in Long COVID-19 Disease,2021,Switzerland,Alexandre Vallée,ACE2; COVID-19; anosmia; dysautonomia; long COVID-19; neurotropism
015-775-600-650-137,Colchicine use in post-covid syndrome (Long COVID),2026,,M.M. Yusupalieva; N.S. Burtsev,
016-426-103-018-123,Longitudinal 129Xe MRI Gas-exchange and Exercise Intolerance in Long-COVID,2024,,Natally AlArab; Marrissa McIntosh; Andrew Hahn; Nicholas Feeley; Keegan Staab; Jonathan Percy; Conner Wharff; Jessica Sieren; Alejandro Comellas; Eric Hoffman; Sean Fain,
016-770-947-493-306,Conceptualising Long COVID as an episodic health condition.,2021,England,Darren A. Brown; Kelly K O'Brien,COVID-19; Long COVID; disabilty; patient-reported outcome measures (PROMs); public health
016-859-339-043-580,Possible long COVID healthcare pathways: a scoping review.,2022,United Kingdom,Sarah Wolf; Ingrid Zechmeister-Koss; Judit Erdös,Guidelines; Healthcare pathways; Long COVID; Recommendations; Scoping review
017-101-852-530-328,Who develops long COVID? Longitudinal pre-pandemic predictors of long COVID and symptom clusters in a representative Dutch population.,2024,Netherlands,Isabel A L Slurink; Sophie C M van den Houdt; Gaëtan Mertens,COVID-19; Clustering; Long COVID; Prediction model; Symptoms; post-COVID-19
017-150-777-803-613,Impact of COVID 19 Vaccination on Long COVID Symptoms in Ecuador a Nationwide Cross Sectional Study,2025,,Santiago Israel Bravo Loaiza; Heon-Jae Jeong; Se Eun Park; Tania Veronica Cabrera Parra; Sunjoo Kang,
017-468-874-560-844,Antioxidants and Long Covid,2022,,Patrick Chambers,Warburg e ect; oxidative stress; magnesuria; in ammasome; butyrate
017-509-016-912-16X,Neurologic and neuropsychiatric symptoms in long-COVID 19 syndrome: a systematic review,2022,,Giovani Zocche Junior; Lia Fonseca Siqueira; Leonardo Bongiovani Loro; Felipe Valles Fortes; Gabriele Zanirati; Daniel Marinowic; Jaderson Costa da Costa,Long COVID; Neurological Symptoms; Post-COVID; Neuropsychiatric Symptoms; COVID Long-Haulers
017-582-764-648-473,Perspective: host factors variants and the underlying causes of long COVID.,2025,Switzerland,Tirasak Pasharawipas,MHC polymorphism; antigen presenting cells; cellular variants; host factors variants; long COVID; long COVID diagnosis
018-046-516-856-983,COVID-19: from an acute to chronic disease? Potential long-term health consequences.,2020,United Kingdom,Victoria Higgins; Dorsa Sohaei; Eleftherios P. Diamandis; Ioannis Prassas,COVID-19; Coronavirus; chronic effects; long-COVID; pandemic
018-251-040-481-284,Differences Between Patients With Chronic Epipharyngitis With and Without Previous COVID-19 Infection.,2024,United States,Manabu Mogitate,coronavirus; endoscopy; infectious disease; naso-pharynx; outcome
018-273-937-517-998,Hancock's covid inquiry evidence offers few clues as to why long covid was sidelined.,2023,United Kingdom,Ondine Sherwood,
018-325-059-047-161,"Prognosis of patients with long COVID symptoms: a protocol for a longitudinal cohort study at a primary care referred outpatient clinic in Helsinki, Finland.",2023,United Kingdom,Hélène Virrantaus; Helena Liira; Tatiana Posharina; Aleksandra Sulg; Teemu Mäntylä; Mari Kanerva; Sini Laakso; Markku Sainio; Antti Malmivaara; Aki Vuokko; Mikko Varonen; Mikko Venäläinen; Jari Arokoski,COVID-19; Prognosis; Quality of Life; REHABILITATION MEDICINE
018-671-900-085-734,Higher prevalence of long COVID observed in cancer survivors: Insights from a US nationwide survey.,2025,Netherlands,Lingchen Wang; Wei Yang,BRFSS; COVID-19; COVID-19 vaccination; Cancer survivors; Long COVID
018-838-173-022-834,,2021,United States,,
018-842-004-871-124,Periodontal disease severity in patients with long COVID and non-COVID-19,2024,,Marie Louisa; Alya Amalina; Ricky Anggara Putranto; Olivia Nauli Komala; Wita Anggraini,
019-056-289-595-124,Phenotyping long COVID.,2021,United Kingdom,Robert Naeije; Sergio Caravita,
019-115-120-209-475,Abnormal brain perfusion detected in elderly Long COVID patients more than one year after initial mild infection,2024,,Alexander Cohen; Kelly Ristow; Laura Umfleet; Malgorzata Franczak; Sara Swanson; Jessica Pommy; Milan Patel; Shawn Obarski; Lilly Mason; Yang Wang,
019-192-436-420-583,"Use of Complementary and Integrative Health Approaches in Adults with Long COVID in the US, a Nationally Representative Survey.",2024,United States,Leah Grout,complementary and alternative medicine; complementary and integrative health; long COVID; post COVID-19 condition
019-259-944-919-771,Clinical coding of long COVID in English primary care: a federated analysis of 58 million patient records in situ using OpenSAFELY.,2021,United Kingdom,null null,
019-641-716-377-437,Candida and Long Covid,2024,,Patrick Chambers,
020-169-633-055-087,2020 Citizen Science Event Book: #LongCovid,2023,,Andrea Huang,
020-311-306-855-938,"Understanding Long Covid: Nosology, social attitudes and stigma.",2021,United States,Eleanor Alexandra Byrne,Chronic fatigue syndrome; Covid-19; Long Covid; Myalgic Encephalomyelitis; SARS-CoV-2; Stigma
020-380-653-124-178,Twitter Sentiment Analysis of Long COVID Syndrome.,2022,United States,Toluwalase Awoyemi; Ujunwa Ebili; Abiola Olusanya; Kayode E Ogunniyi; Adedolapo V Adejumo,health informatics; long covid syndrome; long haulers; sentiment analysis; twitter
020-580-333-801-156,Clinical Significance of Monitoring IgG and IgM Antibodies and the D-dimer in the Diagnosis and Therapy of Long Covid: Experiences from Practice,2024,,Muharem Zidzic; Nizama Salihefendic,
020-695-242-787-045,Long Covid-19,2021,,Vasileios Spyropoulos M.S; Agathi Spiropoulou M.S; Georgia Spyropoulou; Dimosthenis Lykouras; Kiriakos Karkoulias; Kostas Spiropoulos,
020-852-841-861-805,Does pre-infection stress increase the risk of long COVID? Longitudinal associations between adversity worries and experiences in the month prior to COVID-19 infection and the development of long COVID and specific long COVID symptoms,2022,,Elise Paul; Daisy Fancourt,COVID-19; long COVID; adversity experiences; stress
020-972-038-884-043,Similarities between long COVID and cognitive impairment and potential implications; Results from the 2022 BRFSS,2024,,Mary Adams; Joseph Grandpre,
021-014-125-441-125,Estimating the burden of Long COVID symptom clusters in Ireland,2023,United Kingdom,T Igboanugo; Z Kabir,
021-120-665-571-851,PENYULUHAN KESEHATAN REHABILITASI MEDIK PASCA COVID 19,2021,,Tjie Haming Setiadi; Tania Yumna Dzahabiyyah,Medical rehabilitation; post covid 19; medical rehabilitation counseling
021-257-880-764-32X,The Long and Short of COVID-19,2022,,Hemant Mehta; P Swapna; Prakash Jiandani; Vasant Nagvekar; Girish Soni,COVID 19; SARS-CoV-2 Infection; Long Covid; Covid Encephalopathy; Hyponatremia; Anti-SARS-CoV-2 Antibody
021-324-100-250-297,SINDROMA NEUROLOGIS LONG-COVID; APA DAN BAGAIMANA MENANGANINYA,2022,,Andika Okparasta,
021-359-646-807-798,Addressing the Long COVID Crisis: Integrative Health and Long COVID:,2021,United States,Alan Roth; Pan San Chan; Wayne Jonas,COVID; Integrative medicine; chronic fatigue syndrome; complementary and alternative medicine (CAM); diet; exercise; immune; integrative health; long COVID; mindfulness; post-COVID; stress reduction
022-060-317-246-483,SARS-CoV-2 Semi-Quantitative Total Antibody Correlates with Symptoms of Long COVID in Both Vaccinated and Unvaccinated Subjects,2025,,James R White; Ralph L Abraham; Wyche Coleman; Eddie Pitre; Megan M Stevenson; Hannah L Kaplan; Alexander G Goldberg; Molly A. Allen; Cecilia A. Castro; Abby A. Haddox; Harold E Zylicz; Henry P Barham,
022-094-491-678-869,Long covid and mental and physical health: A cross-sectional study of adults in California.,2024,United States,Tyler B Mason; Tara K Knight; Ryan Lee; Shirin E Herzig; Daniella Meeker; Jason N Doctor,COVID‐19; fatigue; long covid; mental health; physical health
022-150-500-474-838,Gaslighting doctors make it harder for women with long COVID,2024,,Gülcan Garip,
022-281-834-344-929,"Caring for Long Covid patients in primary healthcare: a cross-sectional study on general practitioners' knowledge, perception and experience in Belgium and Malta.",2024,England,Sarah Moreels; Sherihane Bensemmane; Robrecht De Schreye; Sarah Cuschieri,Belgium; Covid-19; Long Covid; Malta; general practitioners; primary healthcare; public health
022-502-171-236-818,"Conclusion: Long COVID, long racism",2023,,,
022-534-632-648-310,Patient experiences navigating US healthcare with long-COVID – Part 3 of 3,2024,United States,Elena Gardner; Kirsten Stoesser; Dominik Ose; Bernadette Kiraly,
022-651-540-354-705,Long COVID symptoms and associated factors in registered nurses with COVID-19,2024,,Ga Eun Park; Yeon-Hwan Park,
022-713-823-374-555,Long COVID in Victoria.,2024,Australia,David A Watters; Lance Emerson,COVID‐19; Continuity of patient care; Data collection; Delivery of healthcare; Primary care; Primary health care; Public health; SARS‐CoV‐2; Surveys and questionnaires
022-731-108-739-614,THE RELATIONSHIP OF POST TRAUMATIC STRESS DISORDER FACTORS WITH PSYCHOSOMATIC SYMPTOMS TO LONG COVID PATIENTS AT RSUD TABANAN,2024,,I Made Krishna Putra Pramanda; Susy Purnawati; Nila Wahyuni; I Dewa Ayu Inten Dwi Primayani,
022-882-154-060-838,Long COVID: playing the long game.,2021,United Kingdom,Carter Singh,
023-028-089-208-130,Long COVID: Accommodating a slippery fish,2021,,Eric Lyerly,
023-155-728-838-203,Long Covid lessons: beyond winter and the COVID pandemic,2023,,Amitava Banerjee,
023-311-916-586-949,"Impact of Long-COVID on Cardiac Arrhythmias: A Multi-Center Study from the Middle Euphrates Region, Iraq",2023,,Alaa M. Sadiq; Fadhil Al-Amran,
023-415-604-913-492,Towards a cure for long COVID: the strengthening case for persistently replicating SARS-CoV-2 as a driver of post-acute sequelae of COVID-19.,2024,Australia,Michelle Jl Scoullar; Gabriela Khoury; Suman S Majumdar; Emma Tippett; Brendan S Crabb,COVID‐19; Chronic fatigue syndrome; SARS‐CoV‐2; Virus diseases
