Lens ID,Title,Publication Year,Abstract
001-140-199-311-667,"Quality Inclusive Practices for Preschoolers with Disabilities : Providing Access, Opportunities for Participation, and Supports",2019,"For over 30 years research and policy in early childhood special education (ECSE) has supported inclusive environments for children with disabilities. High-quality inclusive educational experiences include a combination of exemplary practices in general early childhood education (EC) along with recommended practices in ECSE. Two documents highlight recommendations for the inclusion of children with disabilities in educational and community settings. The first document, Early Childhood Inclusion: A Joint Position Statement of the Division for Early Childhood of the Council for Exceptional Children and the National Association for the Education of Young Children (2009), was co-authored by the two largest organizations representing EC and ECSE professionals. It provides a definition for the inclusion of children with disabilities and offers recommendations to expand inclusive opportunities (DEC /NAEYC, 2009). The second document, co-authored by the U.S. Department of Health and Human Services and the U.S. Department of Education (2015), provides recommendations to states to further the inclusion of children with disabilities in early education and care settings. This chapter draws upon these statements as we highlight research on high-quality inclusive settings for preschoolers with disabilities. We include suggestions for research and increased support for inclusive preschool education."
001-247-079-355-948,Stigma and Discrimination: Perspectives From Mexican and Puerto Rican Mothers of Children With Special Needs,2005,"The purpose of this study was to investigate the experiences of stigma-related discrimination in 50 Puerto Rican and Mexican single mothers of young children with disabilities. Mothers were interviewed on issues related to raising a child with disabilities. This was a preliminary exploration of the stories mothers told specifically related to discrimination. A qualitative analysis of the transcripts revealed clear evidence of discrimination as a result of culture, disability, and a combination of culture and disability. Professionals and strangers were responsible for the majority of the discrimination. Experiences were related to the higher number of interactions with service providers, lack of English language proficiency, being the solitary caregiver for their child with a disability, their status of “other,” and the internalization of that status."
001-669-848-668-456,Promoting Optimal Development: Identifying Infants and Young Children With Developmental Disorders Through Developmental Surveillance and Screening,2020,"Early identification and intervention for developmental disorders are critical to the well-being of children and are the responsibility of pediatric professionals as an integral function of the medical home. This report models a universal system of developmental surveillance and screening for the early identification of conditions that affect children's early and long-term development and achievement, followed by ongoing care. These conditions include autism, deafness/hard-of-hearing, intellectual and motor disabilities, behavioral conditions, and those seen in other medical conditions. Developmental surveillance is supported at every health supervision visit, as is as the administration of standardized screening tests at the 9-, 18-, and 30-month visits. Developmental concerns elicited on surveillance at any visit should be followed by standardized developmental screening testing or direct referral to intervention and specialty medical care. Special attention to surveillance is recommended at the 4- to 5-year well-child visit, prior to entry into elementary education, with screening completed if there are any concerns. Developmental surveillance includes bidirectional communication with early childhood professionals in child care, preschools, Head Start, and other programs, including home visitation and parenting, particularly around developmental screening. The identification of problems should lead to developmental and medical evaluations, diagnosis, counseling, and treatment, in addition to early developmental intervention. Children with diagnosed developmental disorders are identified as having special health care needs, with initiation of chronic condition management in the pediatric medical home."
001-676-182-054-866,Least Restrictive and Natural Environments for Young Children with Disabilities: A Legal Analysis of Issues.,2006,"Providing appropriate programs for young children with disabilities is a priority of the Individuals with Disabilities Education Act of 1990 (IDEA), recently reauthorized as the Individuals with Disabilities Education Improvement Act (IDEIA) of 2004. The IDEIA requires that programs be provided in natural or least restrictive environments, and issues concerning this area have been the focus of recent litigation. In this article, the author explores the issues surrounding this litigation and offers recommendations for developing Individualized Family Service Plans (IFSPs) and Individualized Education Programs (IEPs) for young children with disabilities. An analysis of administrative and judicial decisions revealed four themes: placement decisions were based on the potential for academic and nonacademic benefits, placement decisions were based on readiness for inclusion, placement decisions were based on instructional approaches, and placement decisions must be based on the considerations of a full continuu..."
001-737-363-101-04X,Trends in the Educational Placement of Students With Intellectual Disability in the United States Over the Past 40 Years,2018,"In 1975, federal law mandated that children with disabilities be educated in their least restrictive environment, or alongside peers without disabilities in general education classrooms to the maximum extent appropriate. More than 40 years later, I investigated how national trends in educational placement have changed over time for students with intellectual disability. Specifically, I examined the degree placements have trended toward less restrictive environments. I found historical trends of incremental progress toward less restrictive settings, but no evidence of such progress in recent years. Furthermore, most students were educated predominantly in segregated settings every year. I discuss how these findings relate to previous studies, as well as implications for individualized education program teams and advocates for educational inclusion."
001-783-983-679-413,Collaboration Is the Key: A Conversation With Dr. Vivian I. Correa,2024,"<jats:p> Dr. Correa is a professor emerita in the Department of Child Development and Family Studies at the University of North Carolina, Charlotte. Throughout her career, Dr. Correa’s research focused on young children with disabilities, bilingual special education, teacher education, and the intersection of early childhood special education with early childhood education. These foci resulted in research that crosses boundaries, involving strong collaborative partnerships across special education and general education within school settings, departments within universities, and multiple universities nationally. </jats:p>"
002-300-850-799-056,"Longitudinal mathematics development of students with learning disabilities and students without disabilities: A comparison of linear, quadratic, and piecewise linear mixed effects models ☆",2015,
002-632-305-857-557,"Urinary polycyclic aromatic hydrocarbon metabolites and attention/deficit hyperactivity disorder, learning disability, and special education in U.S. children aged 6 to 15.",2014,"Exposure to polycyclic aromatic hydrocarbons (PAHs) adversely affects child neurodevelopment, but little is known about the relationship between PAHs and clinically significant developmental disorders. We examined the relationship between childhood measures of PAH exposure and prevalence of attention deficit/hyperactivity disorder (ADHD), learning disability (LD), and special education (SE) in a nationally representative sample of 1,257 U.S. children 6–15 years of age. Data were obtained from the National Health and Nutrition Examination Survey (NHANES) 2001–2004. PAH exposure was measured by urinary metabolite concentrations. Outcomes were defined by parental report of (1) ever doctor-diagnosed ADHD, (2) ever doctor- or school representative-identified LD, and (3) receipt of SE or early intervention services. Multivariate logistic regression accounting for survey sampling was used to determine the associations between PAH metabolites and ADHD, LD, and SE. Children exposed to higher levels of fluorine metabolites had a 2-fold increased odds (95% C.I. 1.1, 3.8) of SE, and this association was more apparent in males (OR 2.3; 95% C.I. 1.2, 4.1) than in females (OR 1.8; 95% C.I. 0.6, 5.4). No other consistent pattern of developmental disorders was associated with urinary PAH metabolites. However, concurrent exposure to PAH fluorine metabolites may increase use of special education services among U.S. children."
002-840-534-794-568,Meeting the mandate of Public Law 99-457: early childhood intervention in the nineties.,1989,"The Education of the Handicapped Act Amendments of 1986 (PL 99-457) represents the most far-reaching public legislation ever enacted for disabled and developmentally vulnerable young children. This paper presents the basic requirements of the law and discusses the elements of a comprehensive system of early childhood intervention. The challenges and problems created by the law are delineated, and recommendations presented."
003-034-473-122-53X,Supporting Early Childhood Inclusion: Lessons Learned through a Statewide Technical Assistance Project.,1996,"This article describes Partnerships for Inclusion, a statewide project providing technical assistance (TA) to communities as they develop and coordinate inclusive services for infants, toddlers, and preschoolers with disabilities and their families. Included in this description are the major factors influencing the model's development, the project's core services, and selected strategies for promoting systems-level change that supports early childhood inclusion. A framework for evaluating TA services is also presented along with the project's evaluation data. The article concludes with a summary of lessons learned about how to provide effective TA services to diverse client groups."
003-147-562-734-467,Language-Minority Learners in Special Education Rates and Predictors of Identification for Services,2008,"Using data from the Early Childhood Longitudinal Study-Kindergarten Cohort, this study was designed to investigate proportional representation, identification rates, and predictors of language-minority (LM) learners in special education using a nationally representative sample of kindergarten, first graders, and third graders. The findings indicate that although LM learners were underrepresented in special education in kindergarten and first grade, they were overrepresented in third grade across all disability categories. LM status, teacher ratings of language and literacy skills, and reading proficiency level were significant predictors of placement in special education. Kindergarten teacher ratings of language and literacy skills were highly predictive of subsequent placement in special education. The implications for developing a model of early identification, the response-to-intervention model in particular, for LM learners at risk for academic difficulties are discussed."
003-185-255-428-977,"Applied Behavior Analysis in Early Childhood Education: An Overview of Policies, Research, Blended Practices, and the Curriculum Framework",2018,"In this manuscript we attempt to provide a narrative history of the relationship between applied behavior analysis and early childhood education by examining the policies and research that have collaboratively shaped both fields. In addition, given the rapid pace at which early childhood education has changed in the last 25 years, we provide an overview of a recommended model for delivering early childhood education services, to illustrate its congruence with the practices and principles of applied behavior analysis. Lastly, we hope that this manuscript may be used as a bridge between the fields of early childhood education and applied behavior analysis given their similarities and shared purpose, to improve the lives of all recipients of their services."
003-328-055-556-179,Effects of Having an IEP on the Reading Achievement of Students With Learning Disabilities and Speech or Language Impairments,2023,"<jats:p>;                     The extent to which reading achievement is causally impacted by eligibility for special education services due to a learning disability (LD) or speech or language impairment (SLI) is currently unclear. In this registered report, we analyzed U.S. national data from the Early Childhood Longitudinal Study–Kindergarten Cohort of 2010–2011 (ECLS-K: 2011) using student-fixed effects with a lagged dependent variable estimated by maximum likelihood to assess (a) whether being assigned an Individualized Education Program (IEP) and so receiving special education services affects individually measured reading achievement for students with LD or SLI (;                     <jats:italic toggle=""yes"">N</jats:italic>;                     = 2,400) and (b) heterogeneity in the effect of having an IEP for different demographic groups. We observed small, negative effects in early grades (;                     <jats:italic toggle=""yes"">d</jats:italic>;                     = −0.09) but larger, positive effects in later grades (;                     <jats:italic toggle=""yes"">d</jats:italic>;                     s = 0.29–0.67). These more negative early effects primarily occurred among students identified with SLI, male students, and students who faced socioeconomic barriers. Effects were more positive for students who are Black, Hispanic, or who exited special education.;                   </jats:p>"
003-378-953-225-203,Experiences of children with or without disabilities in early childhood programs,,"CHAPTER 4. General Conclusions Recommendations References APPENDIX A. HUMAN SUBJECTS APPROVAL going even through morning sickness. Special thanks to Drs. Carla Peterson and Alice Thieman. Both have served me as wonderful mentors and friends. My other committee members, Drs. Susan Hegland, Dee Draper, and Mack Shelley, have provided assistance and guidance throughout my tenure at Iowa State University. They have challenged me and provided valuable insight throughout my studies. Thanks to colleagues and friends who have supported me in a variety of ways during this research. The gang from Welch Avenue Station provided valuable insight on both meaningful and meaningless topics. My besties, Amanda J. Kirk and THE Jeff Cleveland, helped me through the toughest times providing a listening ear as well as a shoulder to lean on. A special thanks to Mike and Natalie Welter-without your food, shelter, friendship, and long runs I never would be the person I am today. My family has been the overwhelming inspiration for my continuous pursuit of education. My parents sacrificed so that I could benefit from higher education and enjoy the wonderful opportunities that led me here. No words could express my deep gratitude. My sister, Cindy, and brother, Jeff, have inspired me to be true to myself. Without the constant pushing and encouragement from my brother I never would have had the courage to try new things like showing cattle or completing this degree. He has always been my hero. Finally, thanks to my husband, A1 who has lived this for the past three years. Your love has propelled me to find both my inner child and my true self. You are my best friend and my touch stone. I love you because of and in spite of all your strengths and quirks."
003-390-104-061-963,Peer Effects in Early Childhood Education Testing the Assumptions of Special-Education Inclusion,2014,"There has been a push in recent years for students with disabilities to be educated alongside their typically developing peers, a practice called inclusion. In this study, we sought to determine whether peer effects operate within early-childhood special-education (ECSE) classrooms in which preschoolers with disabilities are educated alongside typical peers. Peer effects specific to language growth were assessed for 670 preschoolers (mean age = 52 months) in 83 ECSE classrooms; 55% of the children had disabilities. We found that the average language skills of classmates, as assessed in the fall of the year, significantly predicted children's language skills in the spring (after controlling for their relative skill level in the fall); in addition, there was a significant interactive effect of disability status (i.e., the presence or absence of a disability) and peers' language skills. Peer effects were the least consequential for children without disabilities whose classmates had relatively strong language skills, and the most consequential for children with disabilities whose classmates had relatively poor language skills."
003-554-576-885-301,A Successful Kindergarten Transition for Children with Disabilities: Collaboration Throughout the Process.,2021,"The transition to kindergarten can be a memorable, yet stressful time for children and families. For children with disabilities and their caregivers, the transition to kindergarten can be especially difficult due to changes in environment, supports, and services that occur as part of the transition. The purpose of this article is to highlight specific practices and strategies that can enhance collaboration throughout the transition to kindergarten. Fictional vignettes are used to describe the perspectives of, and also the practices and strategies used by, members of an education team as they support a child with a disability and her caregiver. Readers are provided with examples of practices and planning tools that can be used to support children with disabilities throughout the transition to kindergarten process. High-intensity transition practices and strategies that can be used before, during, and after kindergarten transition are specifically highlighted. Additionally, the need for both preschool and kindergarten collaboration and support is emphasized."
003-608-649-734-338,The Role of the Speech‐Language Pathologist in Early Childhood Settings,1996,"The role of the speech‐language pathologist has been growing, changing and expanding with regard to early childhood services. With the advent of Public Law 94‐142 and Public Law 99‐457, the American's with Disabilities Act (ADA), etc. early childhood programs educate children who require special approaches to learning, moving and communicating. This paper reviews some of the various early childhood program models that include the speech‐language pathologist in service delivery. The McKay Integrated Preschool model highlights the speech‐language pathologist's unique approach. It focuses on Developmentally Appropriate Practices (NAEYC), “best practices” as seen by (ASHA) andthe speech‐language pathologist within the classroom setting on a full‐time basis. Suggestions and recommendations are provided for early childhood educators who are exploring support for speech‐language services. A sample language group lesson and follow up family information are also provided."
003-737-117-044-855,Empowering Culturally Diverse Families of Young Children with Disabilities: The Double ABCX Model,2007,"Many culturally diverse families and their young children with disabilities or delays are not provided appropriate early intervention/early childhood special education services, especially not in a culturally sensitive and meaningful context. Families with diverse backgrounds often feel helpless and stressful because their values are not respected, concerns are not identified, and therefore their needs are not met due to the lack of support from appropriate resources. The purpose of this article is to provide a positive strategy to empower families of young children with special needs and who are from culturally diverse backgrounds through a family-centered, strength-focused family system model: Double ABCX model. Procedures of implementing the double ABCX model was described and discussed. Supported by previous research and the current case studies, the double ABCX family adaptation model has found to be an effective approach to serving diverse families of children with disabilities."
004-010-254-291-587,Early Childhood Special Education Teachers’ Job Burnout and Psychological Stress,2021,"Research Findings: All teachers have demanding jobs and work with limited resources. However, working with young children with disabilities may place additional demands on early childhood special e..."
004-062-247-708-510,What do Pre-Service Teachers See as Their Roles in Promoting Positive Social Environments? “I see Myself as a Facilitator of Acceptance”,2007,"Teacher educators describe a developmental process they use for preparing pre-service teachers to support preschool-age children with and without disabilities in becoming socially competent. Social competence is crucial in developing the “whole” child and may actually foster other areas of development. Using qualitative data gathered from multiple classes over several years, the authors explain ways they guide future teachers in learning how to provide positive social environments. They describe their observations of changes in students’ beliefs about their roles and responsibilities, which appear to be influenced by the guided experiences they have provided. Activities implemented in early childhood and early childhood special education courses are shared, as well as student work samples that illustrate developing awareness and understanding."
004-208-272-079-532,"Teaming, Collaboration, and Case-Based Learning: A Transdisciplinary Approach to Early Intervention/Education",2017,"Throughout the United States, an increasingly strong emphasis is placed on interprofessional personnel preparation, particularly in the field of early intervention/education. Teams of professionals representing multiple disciplines work collaboratively to provide optimal services for young children (birth through age eight) with delays or disabilities; therefore, university students representing multiple disciplines are educated together in preparation for them to collaborate with other professionals and family members when they began their careers. The purpose of this article is to describe how faculty members from multiple disciplines (e.g., early childhood special education, general early childhood, physical therapy, occupational therapy) and schools at the University of Alabama at Birmingham (UAB) prepare graduate students through an interprofessional development program. Students are taught to collaborate and serve as team members using transdisciplinary procedures. Cases of young children with delays or disabilities are used to illustrate how to collaboratively address the issues and challenges identified in each case. This article explains the case-based process that is used at UAB to prepare graduate students to provide transdisciplinary services and includes the development of teaming skills and practices that are responsive to cultural and economic diversity."
004-214-746-885-503,Classroom Research for Young Children with Disabilities: Assumptions that Guided the Conduct of Research.,2000,"During the past 30 years, substantial research activity generated a great deal of knowledge about teaching young children with disabilities in classrooms. This research was conducted by a large num..."
004-244-468-700-093,"Rationale, Development, and Description of a Brief Family-Centered Service Provision Model for Addressing Children's Severe Behavior.",2020,"For families with children with autism that engage in severe behavior, the American Academy of Pediatrics recommends that functional assessment and management of environmental variables contributin..."
004-338-538-168-109,How Do School Psychologists Interpret Intelligence Tests for the Identification of Specific Learning Disabilities,2020,"Although intelligence tests are among the most widely used psychological instruments in school psychology, at the current time, little is known about how practitioners interpret them. The primary purpose of this study, therefore, was to determine how intelligence tests are interpreted by school psychologists, particularly for the identification of specific learning disabilities (SLD). Participants were 1317 school psychologists who were practicing in the USA. Results indicated that school psychologists differ widely in their approach to intelligence test interpretation, particularly for the identification of SLD, and that these differences are only modestly related to personal characteristics, level and accreditation/approval status of professional training, and state regulations for SLD eligibility determination. Although we found that most practicing school psychologists (80%) regularly interpret the overall score, which is the most reliable and valid score for most uses of intelligence tests in the schools, many also engage in questionable interpretive practices, such as conducting intra-individual (ipsative) subtest analyses and the patterns of strengths and weaknesses approach to SLD identification. Implications of these results for practice and training are discussed."
004-361-554-105-170,Functional Assessment and Treatment of Challenging Behavior A Review with Implications for Early Childhood,1993,"Considerable research has focused on challenging behaviors (e.g., aggressive/disruptive, self-injurious) in children and adults with developmental disabilities over the past 25 years. Numerous beha..."
004-449-870-626-927,Inclusion of Young Children With Disabilities in South Korea: Current Status and Challenges,2015,"Inclusion of children with disabilities in early childhood care and education settings improves learning and socialization outcomes for all children. In recent decades, many countries have begun to promote inclusion in school and child care settings, although most are suffering from a lack of trained special education professionals, long-held stigmas, and (in some cases) lack of political will. In this article, the authors give a brief history of special education and care in South Korea, outline some of the actions the government has undertaken to promote inclusion of all learners, and identify some of the remaining challenges to full participation of students with disabilities in national schools and child care centers."
004-764-719-468-84X,Supporting Young Children With Multiple Disabilities: What Do We Know and What Do We Still Need To Learn?,2011,"Young children with multiple disabilities have unique needs and challenges. Many of these young children struggle to communicate their wants and needs, to freely move their body to access and engage their world, and to learn abstract concepts and ideas. Professionals and families working together must identify the individual supports each child needs to ensure that the young child with multiple disabilities is an active participant in all aspects of their lives and makes meaningful progress toward valued life outcomes."
004-868-283-049-930,Early prevention of childhood disability in developing countries.,1991,"The concept of prevention, while implicit in most early intervention efforts, has not been comprehensively articulated as a basis for conceptualizing early intervention services. The growing recognition of the importance of early identification and intervention for infants and young children, and involvement of the family, are factors which contribute to conceptualizations of services which are preventive in nature. This recognition parallels broader concerns for family support programmes which have a preventive focus and seek to enhance the development of children and families. The purpose of this paper is to present a comprehensive framework for the provision of child and family service by conceptualizing early intervention in terms of levels of prevention. Specifically, the concept of primary, secondary, and tertiary levels of prevention will be presented as a framework suitable to encompass the preventive function of community based rehabilitation. The relevance of early prevention is based on the premise that the condition of childhood disability can be prevented at primary, secondary, and tertiary levels. Viewed in this way, the problem or condition of developmental delay or disability in children can be addressed at each of the three levels to effect a reduction of its expression, its duration or extended impact. Primary, secondary, and tertiary prevention can be implemented in the context of community based rehabilitation to address these goals: (a) enhance development and minimize the potential for delay; (b) minimize the need for special education and related services; and (c) minimize the likelihood of institutional or other restrictive care outcomes."
004-941-286-732-012,Making the Transition to Preschool: Identification of Parent Needs.,1988,"Ninety-two parents of San Francisco infants and preschoolers with disabilities were surveyed to identify information and services which would be helpful as they and their children made the transition into public school preschool special education programs. Parent concerns during this period of transition were also identified. Results of the survey indicate that families were most interested in information and services which would allow them to obtain and manage the particular special education and related services appropriate for their child. Concerns centered around being away from their child for long periods, dealing with an unfamiliar agency, and being assured of receiving appropriate services, Implications for providing transition support services are discussed."
005-076-455-809-491,Preparing Early Interventionists to Implement Family-Centered Practices.,2016,"ABSTRACTThe reauthorization of IDEA in 1997 placed greater emphasis on providing early intervention services to the family unit versus solely focusing on children with disabilities or children who are at risk for disabilities. Due to the shift from child-focused services to family-focused services, the need to implement family-centered practices became apparent. This study explored the experiences of graduates of an early intervention/early childhood special education personnel preparation program to gain an understanding of the factors that facilitate implementation of family-centered practices. Results from an online survey and focus groups revealed that the graduates, in general, held positive beliefs about partnering with families, and there were several program components that facilitated the implementation of family-centered practices. Implications are described for advancing the knowledge base about preparing students to work in the field of early intervention."
005-090-332-221-904,Children with Disabilities in Poor Households: Association with Juvenile and Adult Offending,2010,"Disabled youths are arrested, adjudicated, and recidivate at higher rates than their nondisabled peers. Although multiple theories have been offered to explain the relationship between disability and delinquency, the empirical evidence is limited and contradictory. Little is known about how disability may be associated with offending once poverty and family risks like maltreatment are controlled for. Using administrative data from a Midwest state, this article discusses results from a Cox regression of juvenile and young adult offending outcomes for low income disabled compared with nondisabled youths (N = 1,568). Youths with disabilities had higher rates of juvenile court petitions than similarly low-income peers. In models of adult offending, there was no relationship between disability status and adult arrest, but youths who had received educational services for emotional disturbance or other categories of health impairment had higher risk of entering adult corrections. Language: en"
005-122-612-920-076,"Spatial analysis of learning and developmental disorders in upper Cape Cod, Massachusetts using generalized additive models",2010,"The spatial variability of three indicators of learning and developmental disability (LDD) was assessed for Cape Cod, Massachusetts. Maternal reports of receiving special education services, attention deficit hyperactivity disorder, and educational attainment were available for a birth cohort from 1969-1983. Using generalized additive models and residential history, maps of the odds of LDD were produced that also controlled for known risk factors. While results were not statistically significant, they suggest that children living in certain parts of Cape Cod were more likely to have a LDD. The spatial variation may be due to variation in the physical and social environment."
005-220-503-223-342,Seeing Eye-to-Eye Are Parents and Professionals in Agreement About the Benefits of Preschool Inclusion?,2000,"In the study reported here, early childhood professionals and parents of children with and without disabilities were questioned both at the beginning and at the end of a full school year regarding their hopes and concerns about inclusion. Results suggest that at the broadest category levels, both groups show agreement about the benefits and concerns related to inclusion, and little shift was noted from the beginning to the end of the study Differences emerged at the subcategory levels, especially in regard to the future of inclusion. Both parents and teaching professionals/staff indicated some concern about general education preschool teachers' preparation to meet the needs of children with complex special needs. Implications for practice and needs for future research are explored."
