Lens ID,Title,Publication Year,Author/s,Abstract,Keywords
002-967-562-490-391,Patterns in the relationship between acute COVID-19/long COVID-19 and quality of life,2022,Hakan Tüzün; Cansu Özbaş; Burkay Budak; Gizem Altunay; F. N. Baran Aksakal,"<jats:sec>;             <jats:title>Objective:</jats:title>;             <jats:p>To determine the change in the quality of life (QoL) of patients who applied to a tertiary outpatient clinic according to their COVID-19 status.</jats:p>;           </jats:sec>;           <jats:sec>;             <jats:title>Methods:</jats:title>;             <jats:p>This cross-sectional study comprised 1 370 participants. Short form-12 (SF-12), which includes Physical Component Summary (PCS) and Mental Component Summary (MCS) domains, was used to evaluate the QoL. Different linear regression models created using PCS-12 and MCS-12 were dependent variables.</jats:p>;           </jats:sec>;           <jats:sec>;             <jats:title>Results:</jats:title>;             <jats:p>A total of 19.2% of participants had acute COVID-19, and 8.4% had long COVID-19. The most common sypmtoms were fatigue (72.6%), headache (42.5%), and joint pain (39.8%) in patients with long COVID-19. The model including all participants showed that long COVID-19 reduced the QoL in multivariate analysis for both MCS and PCS, while acute COVID-19 had no significant effect on the QoL comparing with those without COVID-19. Model that included participants with COVID-19 showed that long COVID-19 negatively affected the QoL in the multivariate model for PCS-12 and MCS-12. Variables that were significant in the multivariate model for those who had long COVID-19 were having a chronic disease and presence of ongoing symptoms. Females were disadvantaged for PCS-12 and MCS-12 in the multivariate models including all participants, and models including participants who have had COVID-19. Low educational group were disadvantaged for PCS-12 in the multivariate model including all participants. This group were also disadvantaged for PCS-12 and MCS-12 in the multivariate models including participants who had COVID-19.</jats:p>;           </jats:sec>;           <jats:sec>;             <jats:title>Conclusions:</jats:title>;             <jats:p>In studies, acute COVID-19 and long COVID-19 should be treated as separate categories. The effects of long COVID-19 should be considered when providing and planning health services. The effect of gender, and education, on QoL shows that health inequalities continue to be effective during the pandemic period.</jats:p>;           </jats:sec>",
002-987-916-934-26X,LONG COVID SYNDROME,2023,Sof'ya Kuznecova; Elena Belyaeva,"<jats:p>Clinical observations of polymorbid patients with Long Covid syndrome in real clinical practice are presented. Treatment options for patients with lung, muscle, cardiovascular and nervous system damage, immuno-inflammatory syndrome are proposed.</jats:p>",
005-968-594-442-873,Impact of Long COVID on Health-Related Quality of Life Among Patients After Acute COVID-19 Infection: A Cross-Sectional Study.,2024,Chengyao Sun; Ziwei Liu; Sixuan Li; Yuqi Wang; Guoxiang Liu,"Concerns have been raised globally regarding the long-term effects of the novel coronavirus disease 2019 (COVID-19). This study aimed to investigate the impact of long COVID on the health of patients recovering from acute COVID-19 in China. We conducted a cross-sectional questionnaire survey from 1 February to 9 March 2023. Propensity score matching (PSM) was used to understand the differences in health utility values between individuals with and without long COVID. Factors associated with health-related quality of life (HRQoL) were determined using a multiple linear regression model. A chi-square test was used to compare differences between the 2 groups for each dimension of the EuroQoL-5 Dimension-5 Level (EQ-5D-5L) scale. In total, 307 participants were included in the analysis, of which 40.39% exhibited at least 1 persistent symptom. The common symptoms of long COVID were fatigue/weakness, coughing, memory decline, poor concentration, and phlegm in the throat. Most patients with long COVID reported mild effects from their symptoms. After propensity score matching, the long-COVID group had lower health utility scores than the non-long-COVID group (0.94 vs 0.97). In the multivariable linear regression analysis, persistent symptoms and low annual household income were associated with lower health utility values (<i>P</i> < .05). Anxiety/depression and pain/discomfort were the major problems experienced by the participants with long COVID. Long-COVID symptoms following acute COVID-19 infection have a serious impact on health-related quality of life. Therefore, it is necessary to implement interventions to improve patient health after the recovery from acute COVID-19.",COVID-19; China; health-related quality of life; long COVID; persistent symptoms
003-273-523-496-352,Long Covid - Into the Third Year.,2023,Timothy Meagher,"As the COVID-19 pandemic reaches the end of its third year, and as COVID-related mortality in North America wanes, long Covid and its disabling symptoms are attracting more attention. Some individuals report symptoms lasting more than 2 years, and a subset report continuing disability. This article will provide an update on long Covid, with a particular focus on disease prevalence, disability, symptom clustering and risk factors. It will also discuss the longer-term outlook for individuals with long Covid.",COVID-19; epidemiology; infectious diseases; long-COVID; post-COVID-19 condition.
003-360-278-439-041,"Fatigue as a key feature in asthma, COPD and long covid",2024,Maarten Van Herck,"Fatigue is a common, but often underestimated and overlooked symptom in both asthma and COPD (a lung disease characterized by lung damage resulting in reduced oxygen uptake and breathing difficulties). The severity of fatigue is not related to an individual's lung function, making its treatment difficult. Sleep quality, shortness of breath, pain, and excessive negative feelings toward fatigue were linked to fatigue and are potential targets for personalized treatment in the future. In addition, this thesis brings long COVID (a condition describing persisting symptoms after COVID-19) into focus. Long covid has a significant impact on individuals' quality of life and functioning. Fatigue, post-exertional malaise (a disproportionate worsening of symptoms after physical, cognitive or emotional triggers), and orthostatic intolerance (the onset of symptoms when a person sits or stands upright) were identified as key features of long COVID. These findings highlight the need for targeted support and further research into effective treatments for long COVID.",
003-361-460-234-100,An exploration into the self-reported experiences of musculoskeletal pain in females diagnosed with long Covid within the eThekwini Municipality,2024,Karisa Pillay,"<jats:p>BACKGROUND The COVID-19 pandemic caused a worldwide health crisis that prompted an increase in the output of research targeted at expanding the knowledge available about COVID-19, the symptoms experienced and its consequences. Post-acute sequelae of SARS-CoV-2 infection is described as the persistence of symptoms since the initial diagnosis of COVID-19 for more than four weeks and, in most cases, lasting for months at a time. It is also referred to as Long COVID. Musculoskeletal pain (MSP) in relation to this condition is associated with tenderness, discomfort and stiffness of the joints, bones or muscles. Amidst the various reports of symptoms experienced by those affected by Long COVID, MSP has been identified as the most prevalent and debilitating manifestation, common in patients diagnosed with Long COVID. Despite current literature detailing the prevalence of various symptoms associated with Long COVID, a gap in the literature remains in the understanding of the experiences of individuals affected by MSP. Research has identified that women are more likely to endure symptoms of Long COVID, especially MSP, as compared to males. Given that women share a disproportionate burden of Long COVID, it is imperative to get a better understanding of the unique difficulties and lived experiences of women suffering from MSP. A thorough exploration into the various factors that play a role in the onset, development, persistence, and consequences of this symptom is required to fully grasp the experiences women have had whilst enduring MSP. Various factors play a vital role in the influence of an individual’s experiences of MSP throughout their Long COVID journey; these include pre-existing musculoskeletal conditions, the severity of the illness itself, biological changes because of COVID-19, psychological stresses, social determinants of health and health seeking approaches. This qualitative investigation aimed to address this gap in the literature by conducting in depth interviews amongst women with Long COVID experiencing MSP. This approach was to capture the rich perspectives of the participants, detailing daily life experiences, and methods of coping and challenges associated with MSP as a result of Long COVID. The benefits of a deeper understanding of the MSP experiences in women with Long COVID include interventions and support services specifically designed to address the unique challenges and needs that women encounter, resulting in a better quality of life and overall well-being. AIM OF STUDY The aim of this study has been to explore the experiences of MSP as a clinical manifestation of long COVID in women. METHODOLOGY A qualitative, exploratory, descriptive approach was utilised in this study(McLeod 2017). The purpose of a qualitative approach is to obtain a greater understanding of the experiences and perspectives of individuals who provide rich data without the use of quantitative and statistical methods. The sampling strategy utilised in this study was purposive sampling with the snowball method to obtain data. In this study, MSP was explored through the first-hand experiences of women with Long COVID to further understand how this clinical manifestation has affected their quality of life. This study involved conducting individual in-person interviews with a sample size of 12 women with Long COVID, with the purpose of providing personal, engaging interactions to obtain rich, reliable data. The benefit of conducting personal interviews is that it gathers the personal perspectives of individuals and explores responses to questions, which adds reliability to the study. Data was collected until saturation was attained. Data saturation was reached after interviewing the eighth participant, but four additional participants were interviewed thereafter to confirm saturation was reached. RESULTS The data were analysed using Tesch’s method to identify themes and subthemes. This involved the transcription and review of the participant responses, coding the responses according to themes and further categorizing similar themes into subthemes. The main themes that were identified in this study were the common clinical presentation of MSP experience due to Long COVID, negative effects of MSP on the quality of life and the varied and limited choice of healthcare treatment options. The participants shared a commonality with regard to the clinical presentation MSP, as most of them experienced back pain, neck pain, shoulder pain and headaches. The participants reported that they led a poor quality of life due to the extent of MSP which negatively affected their ability to perform daily tasks and resulted in constant fatigue. A high prevalence of anxiety, depression and frustration was experienced by the participants as they were exhausted from trying to find an effective treatment to resolve their pain. Most participants were highly reliant on pain medication to find some type of relief. Others sought alternate methods of care in the form of chiropractic treatment and lifestyle changes. This helped them better manage their pain and improve their general well-being. CONCLUSION The results of this study revealed that MSP is a prevalent and debilitating symptom amongst women with Long COVID. It affects various major aspects of lives, such as physical functioning, socialisation and mental health. A multi-disciplinary approach is imperative to provide efficient and effective health care to patients. Therefore, it is imperative that not only chiropractors but all health care practitioners who come into contact with affected women are able to create well-rounded treatment plans for those patients and converse easily with them to find a solution to their pain.</jats:p>",
003-516-669-091-802,Long COVID After Bamlanivimab Treatment,2024,Evering T.H.; Мухамедьярова А.Б.; Nikolaus Jilg; Y. T a k e; B. Sanusi; Wohl D.A.; Daar E.S.; Li J.Z.; P. Klekotka; Javan A.C.; Eron J.J.; Currier J.S.; Hughes M.D.; Smith D.M.; Chew K.W.; ACTIV- A Study Team,"Background: Prospective evaluations of long COVID in outpatients with coronavirus disease 2019 (COVID-19) are lacking. We aimed to determine the frequency and predictors of long COVID after treatment with the monoclonal antibody bamlanivimab in ACTIV-2/A5401. Methods: Data were analyzed from participants who received bamlanivimab 700 mg in ACTIV-2 from October 2020 to February 2021. Long COVID was defined as the presence of self-assessed COVID symptoms at week 24. Self-assessed return to pre-COVID health was also examined. Associations were assessed by regression models. Results: Among 506 participants, median age was 51 years. Half were female, 5% Black/African American, and 36% Hispanic/Latino. At 24 weeks, 18% reported long COVID and 15% had not returned to pre-COVID health. Smoking (adjusted risk ratio [aRR], 2.41 [95% confidence interval {CI}, 1.34- 4.32]), female sex (aRR, 1.91 [95% CI, 1.28-2.85]), non-Hispanic ethnicity (aRR, 1.92 [95% CI, 1.19-3.13]), and presence of symptoms 22-28 days posttreatment (aRR, 2.70 [95% CI, 1.63-4.46]) were associated with long COVID, but nasal severe acute respiratory syndrome coronavirus 2 RNA was not. Conclusions: Long COVID occurred despite early, effective monoclonal antibody therapy and was associated with smoking, female sex, and non-Hispanic ethnicity, but not viral burden. The strong association between symptoms 22-28 days after treatment and long COVID suggests that processes of long COVID start early and may need early intervention. Clinical Trials Registration: NCT04518410.",
004-064-585-740-096,129Xe lung ventilation imaging in patients with long COVID without prior respiratory disease,2024,Laura Saunders; Guilhem Collier; Laurie Smith; Helen Marshall; Alberto Biancardi; Demi Jakymelen; Scarlett Strickland; Lotta Gustafsson; Ryan Munro; Oliver Rodgers; Neil Stewart; Graham Norquay; David Capener; Alexander Horsley; A A Roger Thompson; Jim Wild,"<jats:p>Motivation: It is unclear the extent to which abnormal lung ventilation is present in long COVID subjects without prior respiratory diseases. Goal(s): Evaluate 129Xe lung ventilation imaging in a cohort without prior respiratory disease, consisting of patients with long COVID (with and without dyspnea) and controls. Approach: 60 patients with long COVID (53 with dyspnea, 7 without dyspnea) and 20 controls underwent successful ventilation imaging and were included in analysis. Results: 129Xe ventilation imaging metrics did not find significant differences between controls and patients with long COVID, however a subset of long COVID patients with dyspnea had lung ventilation defects despite normal PFTs. Impact: Impact (40 words): The majority of patients with long COVID  have normal 129Xe lung ventilation imaging. 129Xe  ventilation imaging may be able to identify candidates with long COVID who may  be candidates for treatments targeted at airways disease. </jats:p>",
004-331-568-467-554,Navigating the social identity of long covid,2021,Julie Van de Vyver; Ana C. Leite; Nisreen A Alwan,"Long covid is an urgent global public health problem. In the UK alone, experiencing it for a year or more is estimated to affect 405 000 people, with higher prevalence in deprived groups.1 Medical research into the pathophysiology of long covid, and how it can be treated is urgently needed, but it is also essential to consider social factors that may be implicated in the recovery of the millions of people with long covid across the world. It is not possible to holistically understand any individual’s experiences, without understanding their connection and place within the broader community around them. Research shows that social connections and belonging are essential determinants of health and wellbeing.2; ; #### Stigma, isolation, and identity loss in long covid; ; The particular features of long covid as a long lasting condition with multifactorial presentation, often without firm medical diagnoses, put patients at substantial risk of experiencing stigma.3 The idea that “invisible” chronic illnesses with poorly characterised underlying processes may lead to stigma is not new. Stigma not only affects people’s quality of …",
004-371-044-809-935,The immunology of long COVID.,2023,Daniel M Altmann; Emily M Whettlock; Siyi Liu; Deepa J Arachchillage; Rosemary J Boyton,"Long COVID is the patient-coined term for the disease entity whereby persistent symptoms ensue in a significant proportion of those who have had COVID-19, whether asymptomatic, mild or severe. Estimated numbers vary but the assumption is that, of all those who had COVID-19 globally, at least 10% have long COVID. The disease burden spans from mild symptoms to profound disability, the scale making this a huge, new health-care challenge. Long COVID will likely be stratified into several more or less discrete entities with potentially distinct pathogenic pathways. The evolving symptom list is extensive, multi-organ, multisystem and relapsing-remitting, including fatigue, breathlessness, neurocognitive effects and dysautonomia. A range of radiological abnormalities in the olfactory bulb, brain, heart, lung and other sites have been observed in individuals with long COVID. Some body sites indicate the presence of microclots; these and other blood markers of hypercoagulation implicate a likely role of endothelial activation and clotting abnormalities. Diverse auto-antibody (AAB) specificities have been found, as yet without a clear consensus or correlation with symptom clusters. There is support for a role of persistent SARS-CoV-2 reservoirs and/or an effect of Epstein-Barr virus reactivation, and evidence from immune subset changes for broad immune perturbation. Thus, the current picture is one of convergence towards a map of an immunopathogenic aetiology of long COVID, though as yet with insufficient data for a mechanistic synthesis or to fully inform therapeutic pathways.",
